ID;CIRCUIT;JOINT_E;JOINT_S;TOURNEE;POINTS;STAMP
1;1;1;2;2020_14288;*10-825-31-810-52-771-102-850-153-878-203-1058-253-1117-302-1206-352-1050-402-1004-453-866-503-903-553-881-604-1036-655-1128-672-1224-689-1317;17702222
2;1;2;1;2021_15298;*15-772-33-789-52-768-102-919-153-983-203-1136-253-1102-303-1080-354-890-403-880-453-807-503-902-554-952-604-1190-654-1294-672-1367-691-1437;17711768
3;2;3;4;2021_15297;*10-936-50-965-91-909-141-1055-191-1069-241-1249-291-1153-341-1184-391-1023-440-1099-490-1044-540-1232-591-1276-641-1489-691-1337-741-1339-791-1141-840-1236-890-1182-940-1432-990-1545-1040-1797-1091-1534-1141-1468-1191-1235-1241-1310-1291-1307-1327-1494-1363-1767;17711768
4;2;4;3;2018_04_14 - SNLOI_PLD_140418404;*15-918-53-979-91-972-140-1132-190-1069-240-1098-291-955-341-1007-391-946-441-1121-491-1157-540-1378-590-1277-640-1256-691-1055-741-1109-791-1059-841-1311-891-1434-941-1704-991-1493-1041-1416-1091-1157-1141-1222-1191-1191-1241-1522-1291-1779-1330-2051-1370-1951;736808
5;3;5;6;2020_14288;*11-878-51-961-91-823-141-801-191-661-241-765-292-767-341-1081-391-1112-441-1067-492-791-542-817-592-754-642-1020-692-1249-742-1513-792-1065-842-977-892-792-941-946-991-1043-1027-1558-*1063-2004-1077-1880-1092-1740-1142-1337-1192-905-1241-945-1290-917-1327-1240-1364-1674;17702222
6;3;6;5;2021_15304;*20-893-56-919-93-799-142-831-191-724-241-848-291-833-341-1045-392-983-441-1019-491-838-541-924-591-864-641-1111-691-1158-741-1281-791-1023-841-1047-891-919-941-1133-992-1204-1041-1602-1091-1422-1141-1305-1192-1013-1242-1134-1292-1144-1331-1542-1370-1886;17711678
7;4;7;8;2021_15297;*13-739-30-756-48-758-99-936-150-1152-167-1265-184-1413;17711770
8;4;8;7;2021_14826;*14-855-24-877-34-883-92-1161-150-1343-159-1403-169-1375;17707643
9;5;9;10;2020_14292;*10-731-29-726-49-712-99-865-149-964-163-1050-177-1098;17702217
10;5;10;9;2017_07_17 - LBLMS_PMP_170717735;*14-779-31-800-48-799-98-1074-149-1191-167-1212-185-1223;736551
11;6;11;12;2011_09_07 - W2PMP_VPD_60911317  M2;*10-959-30-978-51-943-101-1161-151-1186-167-1275-183-1300;0
12;6;12;11;2010_07_25 - DNVPD_VIP_25071058  M2;*15-899-33-970-51-952-101-1346-151-1403-169-1460-187-1390;0
13;7;13;14;2010_07_25 - DNDAN_SPC_25071062  M1;*10-719-29-724-49-710-100-851-151-951-166-1035-182-1111;0
14;7;14;13;2010_10_27 - W2VPD_PLD_271010437  M2;*15-770-33-787-51-794-102-1054-153-1117-169-1158-186-1177;0
15;8;15;16;2021_14823;*10-837-53-921-96-887-146-1046-196-1071-246-1223-296-1099-346-1112-396-962-446-1038-496-988-546-1209-596-1280-646-1443-696-1236-745-1225-795-1062-846-1158-897-1135-946-1385-996-1524-1045-1712-1095-1436-1145-1387-1196-1180-1246-1286-1296-1279-1335-1531-1375-1762;17707642
16;8;16;15;2018_04_14 - SNLOI_PLD_140418404;*15-901-55-1001-96-1004-146-1173-196-1101-246-1122-296-960-346-1006-396-954-445-1120-495-1170-546-1389-597-1282-646-1271-696-1066-746-1122-796-1058-846-1281-896-1398-946-1687-996-1541-1046-1462-1096-1184-1146-1233-1196-1180-1246-1480-1296-1695-1338-2046-1380-1903;736808
17;9;17;18;2021_14825;*11-906-53-929-96-758-146-777-196-681-246-823-296-865-346-1145-396-1042-446-967-496-758-546-826-596-797-646-1129-697-1336-746-1371-796-979-846-939-896-805-946-990-997-1087-1046-1776-1096-1592-1146-1248-1196-897-1246-948-1296-951-1333-1272-1371-1754;17707642
18;9;18;17;2021_14824;*21-930-59-900-97-788-146-810-196-735-246-860-296-919-345-1141-395-1035-445-1025-496-847-546-931-596-899-645-1156-695-1241-745-1353-795-1051-845-1052-896-923-945-1125-995-1196-1045-1624-1095-1473-1145-1324-1195-1025-1245-1110-1296-1109-1323-1321-*1351-1594-1355-1648-*1360-1599-1370-1685-1381-1870;17707642
19;10;19;21;2010_05_05 - W3VGR_VPD_50510411  M1;*10-2164-29-2173-49-2065-52-1730-*56-1172-60-1407-*64-1615-67-1487-*71-1072-76-1317-*82-1643-85-1444-*88-1221-95-1484-*103-1764-105-1487-*108-1215-115-1547-*123-1815-125-1661-*128-1470-133-1679-*139-1727-141-1633-*143-1547-146-1570-150-1818-165-2216-180-2220;0
20;10;21;19;2018_04_14 - SNLOI_PLD_140418404;*15-2255-32-2366-49-1908-51-1579-*54-1438-60-1821-*66-1940-69-2024-*72-1559-80-1776-*88-2110-90-1907-*93-1413-100-1742-*107-2036-110-1788-*114-1284-122-1805-*130-1644-137-1951-*145-2556-147-2426-150-2433-167-2382-185-2328;736808
21;11;22;23;2010_08_11 - W2VGR_VPD_110810115  M1;*10-840-45-951-81-971-131-1092-182-927-231-895-281-767-331-849-381-868-412-1024-443-1189;0
22;11;23;22;2018_04_14 - SNLOI_PLD_140418404;*15-1155-48-1112-82-976-132-936-182-787-232-889-282-892-332-1170-382-1297-415-1391-448-1331;736808
23;12;24;25;2021_14823;*10-639-45-733-81-806-131-1059-181-865-231-753-281-602-331-677-381-720-409-935-437-1230;17707642
24;12;25;24;2019_01_05 - SBPDP_PLD_50119030;*15-675-48-802-82-837-132-1095-182-947-232-885-282-703-332-795-382-804-415-1029-449-1211;737066
25;13;26;27;2010_08_11 - W2VGR_VPD_110810115  M1;*10-662-43-682-76-683-127-835-178-984-207-1215-237-1567;0
26;13;27;26;2021_14824;*15-819-46-871-78-907-129-1215-180-1481-212-1671-245-1718;17707642
27;14;28;29;2020_14292;*10-739-44-631-78-520-128-580-179-587-209-791-239-1081;17702342
28;14;29;28;2020_14293;*15-776-47-686-79-650-129-771-179-826-206-1056-233-1217;17702343
29;15;30;32;2017_11_01 - WBPLY_MUL_11117008;*15-1015-48-1067-81-1093-99-1132-*117-1263-120-1096-*123-817-133-986-*143-1219-145-1257-*147-1089-152-912-*158-858-160-826-*163-964-171-1178-179-1326-210-1786-242-2227;736647
30;15;32;30;2010_07_26 - LNCHT_CLV_26071070  M1;*14-1230-47-1324-80-1167-84-1129-*88-1190-90-809-*93-634-101-1005-*110-1016-122-1132-*134-1413-157-1609-180-1674-209-2038-238-2435;0
31;16;33;34;2018_10_01 - L1PLY_NMS_11018775;*10-1883-45-2073-80-1993-131-1756-182-1373-233-1261-284-1099-334-1130-384-1142-433-1349-483-1591-515-1992-548-2414;737061
32;16;34;33;2017_11_04 - SNPIO_PLD_41117019;*15-1930-49-1852-83-1642-133-1446-183-1193-232-1152-282-1078-333-1182-384-1259-435-1571-486-1888-518-2265-551-2449;736646
33;17;35;36;2020_13982;*11-2230-40-2177-70-1865-122-1578-174-1213-223-1179-273-1088-323-1268-374-1467-399-1735-424-2077;17698811
34;17;36;35;2019_08_06 - MBMRL_BEU_60819531;*15-1838-43-1744-72-1535-122-1397-172-1175-222-1223-272-1219-323-1508-375-1750-402-2090-430-2298;737277
35;18;37;38;2010_07_26 - LNCLV_PVL_26071071  M2;*10-1197-39-1206-68-1162-118-1411-169-1332-219-1430-269-1239-319-1271-369-1159-419-1470-469-1620-519-1758-569-1437-619-1496-669-1329-719-1598-769-1681-819-2156-869-1855-919-1811-969-1477-1019-1647-1069-1642-1092-1912-1115-2185;0
36;18;38;37;2019_01_11 - V1MAR_PLD_110119043;*15-1309-41-1261-67-1168-117-1308-167-1172-217-1311-267-1204-317-1429-367-1359-417-1524-467-1351-517-1483-567-1327-617-1554-667-1517-717-1626-767-1496-817-1696-868-1599-917-1717-967-1571-1017-1901-1068-1921-1096-2123-1125-2287;737087
