ID;NOM;TYPE;FREQUENCE;COMPENSATION;POINTS;PAS_REEL;ICC_MIN;N_FUITE_LONG_ARR;CALCUL_CONFORME;I_FUITE_MAX;DIAPHONIE_MAX
0;z5403E;TVM300;2300;P_VARIABLE;4;67;500;200;0;100;200
1;z1532D;TVM300;2000;P_CONSTANT;7;100;500;200;1;100;200
2;z1603A;TVM300;2300;P_CONSTANT;13;100;500;200;1;100;200
3;z1612C;TVM300;2600;P_CONSTANT;13;100;450;200;1;100;200
4;z1703A;TVM300;1700;P_CONSTANT;2;100;500;200;1;100;200
5;z1718B;TVM300;2000;P_CONSTANT;2;100;500;200;1;100;200
6;z4103A;TVM300;2300;P_CONSTANT;2;100;500;200;1;100;200
7;z4132D;TVM300;2000;P_CONSTANT;2;100;500;200;1;100;200
8;z4203A;TVM300;2300;P_CONSTANT;13;100;500;200;1;100;200
9;z4212D;TVM300;2600;P_CONSTANT;13;100;450;200;1;100;200
10;z4303B;TVM300;2300;P_CONSTANT;2;100;500;200;1;100;200
11;z4403A;TVM300;2300;P_CONSTANT;4;100;500;200;1;100;200
12;z4432D;TVM300;2600;P_CONSTANT;4;100;450;200;1;100;200
13;z4503A;TVM300;1700;P_CONSTANT;2;100;500;200;1;100;200
14;z4532F;TVM300;2600;P_CONSTANT;2;100;450;200;1;100;200
15;z1003B;TVM300;1700;P_CONSTANT;2;100;500;200;1;100;200
16;z1103A;TVM300;1700;P_CONSTANT;5;100;500;200;1;100;200
17;z1120D;TVM300;2000;P_CONSTANT;4;100;500;200;1;100;200
18;z1206C;TVM300;2600;P_CONSTANT;11;100;450;200;1;100;200
19;z1213A;TVM300;1700;P_CONSTANT;8;100;500;200;1;100;200
20;z1220C;TVM300;2600;P_CONSTANT;8;100;450;200;1;100;200
21;z1303A;TVM300;2300;P_CONSTANT;6;100;500;200;1;100;200
22;z1320D;TVM300;2000;P_CONSTANT;4;100;500;200;1;100;200
23;z1384A;TVM300;2000;P_CONSTANT;10;100;500;200;1;100;200
24;z1403A;TVM300;2300;P_CONSTANT;4;100;500;200;1;100;200
25;z1416E;TVM300;2000;P_CONSTANT;10;100;500;200;1;100;200
26;z1453A;TVM300;2300;P_CONSTANT;4;100;500;200;1;100;200
27;z1503B;TVM300;2300;P_CONSTANT;4;100;500;200;1;100;200
28;z1530C;TVM300;2000;P_CONSTANT;8;100;500;200;1;100;200
29;z1603A;TVM300;2300;P_CONSTANT;7;100;500;200;1;100;200
30;z1620B;TVM300;2600;P_CONSTANT;3;100;450;200;1;100;200
31;z1704C;TVM300;2000;P_CONSTANT;13;100;500;200;1;100;200
32;z1705A;TVM300;2300;P_CONSTANT;6;100;500;200;1;100;200
33;z1803A;TVM300;2300;P_CONSTANT;3;100;500;200;1;100;200
34;z1820E;TVM300;2600;P_CONSTANT;4;100;450;200;1;100;200
35;z1873A;TVM300;1700;P_CONSTANT;16;100;500;200;1;100;200
36;z1903A;TVM300;2300;P_CONSTANT;5;100;500;200;1;100;200
37;z1916B;TVM300;2000;P_CONSTANT;6;100;500;200;1;100;200
38;z2003A;TVM300;2300;P_CONSTANT;5;100;500;200;1;100;200
39;z2020E;TVM300;2000;P_CONSTANT;9;100;500;200;1;100;200
40;z2103A;TVM300;1700;P_CONSTANT;8;100;500;200;1;100;200
41;z2106A;TVM300;2600;P_CONSTANT;5;100;450;200;1;100;200
42;z2133A;TVM300;2300;P_CONSTANT;10;100;500;200;1;100;200
43;z2136B;TVM300;2600;P_CONSTANT;11;100;450;200;1;100;200
44;z2203B;TVM300;2300;P_CONSTANT;7;100;500;200;1;100;200
45;z2220F;TVM300;2600;P_CONSTANT;3;100;450;200;1;100;200
46;z2242H;TVM300;2600;P_CONSTANT;4;100;450;200;1;100;200
47;z2247A;TVM300;2300;P_CONSTANT;3;100;500;200;1;100;200
48;z2247D;TVM300;1700;P_CONSTANT;9;100;500;200;1;100;200
49;z2250A;TVM300;2000;P_CONSTANT;11;100;500;200;1;100;200
50;z2303A;TVM300;2300;P_CONSTANT;5;100;500;200;1;100;200
51;z2317C;TVM300;1700;P_CONSTANT;11;100;500;200;1;100;200
52;z1255;TVM300;1700;P_CONSTANT;19;100;500;200;1;100;200
