ID;VOIE;PK;TYPE;DEMI_LONGUEUR
0;0;6357;JI;0
1;512;91507;SVAC;10
2;512;92213;CC;15
3;511;111850;SVAC;10
4;511;113232;CC;15
5;512;111850;SVAC;10
6;512;113232;CC;15
7;511;128805;SVAC;10
8;511;129005;CC;15
9;512;128805;SVAC;10
10;512;129002;CC;15
11;511;137654;SVAC;10
12;511;137856;CC;15
13;512;137654;SVAC;10
14;512;137856;CC;15
15;511;159712;SVAC;10
16;511;161104;CC;15
17;512;159712;SVAC;10
18;512;161104;CC;15
19;511;178277;SVAC;10
20;518;178331;JI;0
21;511;178477;CC;15
22;511;187422;SVAC;10
23;511;187884;CC;15
24;512;187422;SVAC;10
25;512;187884;CC;15
26;511;212827;SVAC;10
27;511;213083;CC;15
28;512;212827;SVAC;10
29;512;213083;CC;15
30;863;2130;CC;15
31;6574;2254;JI;0
32;863;2390;CC;15
33;863;25152;SVAC;10
34;863;25718;CC;15
35;864;25259;SVAC;10
36;864;25704;CC;15
37;864;42365;SVAC;10
38;864;43501;CC;15
39;863;47680;SVAC;10
40;863;48580;CC;15
41;864;47680;SVAC;10
42;864;48566;CC;15
43;863;70125;SVAC;10
44;863;70767;CC;15
45;864;70310;SVAC;10
46;864;70753;CC;15
47;864;87482;SVAC;10
48;864;88571;CC;15
49;863;91297;SVAC;10
50;863;91783;CC;15
51;864;90765;SVAC;10
52;864;91783;CC;15
53;863;103255;SVAC;10
54;863;103722;CC;15
55;863;115212;SVAC;10
56;6583;115384;JI;0
57;863;115667;CC;15
58;864;116737;SVAC;10
59;864;117601;CC;15
60;863;137630;SVAC;10
61;863;138402;CC;15
62;864;138389;SVAC;10
63;6585;138560;JI;0
64;864;138700;CC;15
65;864;159151;SVAC;10
66;864;160501;CC;15
67;863;161053;SVAC;10
68;863;161709;CC;15
69;863;181290;SVAC;10
70;863;181649;CC;15
71;864;181157;SVAC;10
72;864;181649;CC;15
73;863;195616;SVAC;10
74;863;197234;CC;15
75;863;201235;SVAC;10
76;863;201790;CC;15
77;864;201790;SVAC;10
78;6591;202017;JI;0
79;8774;202384;JI;0
80;864;202400;CC;15
81;863;225091;SVAC;10
82;6593;225302;JI;0
83;863;225647;CC;15
84;864;224109;SVAC;10
85;864;225091;CC;15
86;863;246368;SVAC;10
87;863;247178;CC;15
88;864;246368;SVAC;10
89;864;246868;CC;15
90;863;254626;SVAC;10
91;863;255695;CC;15
92;864;254589;SVAC;10
93;864;255695;CC;15
94;863;270689;SVAC;10
95;863;271409;CC;15
96;864;271084;SVAC;10
97;864;271394;CC;15
98;8767;273502;JI;0
99;8767;273936;JI;0
100;863;277646;SVAC;10
101;863;278000;CC;15
102;863;280066;SVAC;10
103;863;281021;CC;15
104;864;277646;SVAC;10
105;864;278821;CC;15
106;863;292517;SVAC;10
107;6599;292803;JI;0
108;863;293075;CC;15
109;863;295940;SVAC;10
110;863;297050;CC;15
111;511;39781;SVAC;10
112;511;41746;SVAC;10
113;512;38384;SVAC;10
114;512;40724;SVAC;10
115;511;43486;SVAC;10
116;512;41746;SVAC;10
117;512;43486;SVAC;10
118;511;44613;SVAC;10
119;511;45938;SVAC;10
120;511;48209;SVAC;10
121;512;45938;SVAC;10
122;512;48209;SVAC;10
123;511;50329;SVAC;10
124;512;50329;SVAC;10
125;511;52451;SVAC;10
126;512;52451;SVAC;10
127;511;54538;SVAC;10
128;512;54538;SVAC;10
129;511;56637;SVAC;10
130;864;36624;SVAC;10
131;864;38896;SVAC;10
132;863;40039;SVAC;10
133;863;40934;SVAC;10
134;863;42365;SVAC;10
135;863;43490;SVAC;10
136;864;40039;SVAC;10
137;864;40934;SVAC;10
138;863;44522;SVAC;10
139;863;45606;SVAC;10
140;864;45606;SVAC;10
141;864;46879;SVAC;10
142;864;44522;SVAC;10
143;863;50497;SVAC;10
144;863;51891;SVAC;10
145;864;50497;SVAC;10
146;864;51902;SVAC;10
147;863;52872;SVAC;10
148;863;53914;SVAC;10
149;863;55116;SVAC;10
150;863;56087;SVAC;10
151;864;53914;SVAC;10
152;864;55116;SVAC;10
153;863;57023;SVAC;10
154;863;58461;SVAC;10
155;864;57023;SVAC;10
156;863;59217;SVAC;10
157;863;60837;SVAC;10
158;864;59217;SVAC;10
159;863;61492;SVAC;10
160;863;63289;SVAC;10
161;864;61492;SVAC;10
162;863;65509;SVAC;10
163;864;63649;SVAC;10
164;863;66142;SVAC;10
165;863;67801;SVAC;10
166;864;64453;SVAC;10
167;864;66142;SVAC;10
168;863;68033;SVAC;10
169;864;68033;SVAC;10
170;863;71584;SVAC;10
171;863;72608;SVAC;10
172;863;74889;SVAC;10
173;864;72345;SVAC;10
174;864;74427;SVAC;10
175;863;75850;SVAC;10
176;863;77054;SVAC;10
177;864;74889;SVAC;10
178;864;76674;SVAC;10
179;863;78200;SVAC;10
180;863;79156;SVAC;10
181;863;81404;SVAC;10
182;864;78200;SVAC;10
183;864;78764;SVAC;10
184;512;56637;SVAC;10
185;511;58761;SVAC;10
186;512;58710;SVAC;10
187;511;60968;SVAC;10
188;512;60696;SVAC;10
189;511;63178;SVAC;10
190;512;62979;SVAC;10
191;511;65241;SVAC;10
192;512;65241;SVAC;10
193;511;69828;SVAC;10
194;511;71995;SVAC;10
195;512;69828;SVAC;10
196;512;71995;SVAC;10
197;511;74162;SVAC;10
198;512;74162;SVAC;10
199;511;76314;SVAC;10
200;512;76314;SVAC;10
201;511;78503;SVAC;10
202;512;78503;SVAC;10
203;511;80663;SVAC;10
204;512;80663;SVAC;10
205;511;82830;SVAC;10
206;512;82830;SVAC;10
207;511;84996;SVAC;10
208;512;84996;SVAC;10
209;511;87164;SVAC;10
210;512;87164;SVAC;10
211;511;89331;SVAC;10
212;512;89331;SVAC;10
213;511;91507;SVAC;10
214;511;93588;SVAC;10
215;511;95674;SVAC;10
216;512;93588;SVAC;10
217;512;95674;SVAC;10
218;511;97781;SVAC;10
219;512;97924;SVAC;10
220;511;99897;SVAC;10
221;511;101982;SVAC;10
222;512;100176;SVAC;10
223;511;104128;SVAC;10
224;512;102428;SVAC;10
225;511;106255;SVAC;10
226;512;104680;SVAC;10
227;511;108286;SVAC;10
228;512;106932;SVAC;10
229;511;110151;SVAC;10
230;512;109184;SVAC;10
231;512;110151;SVAC;10
232;511;116380;SVAC;10
233;511;118434;SVAC;10
234;512;116380;SVAC;10
235;512;118517;SVAC;10
236;511;120485;SVAC;10
237;512;120670;SVAC;10
238;511;122624;SVAC;10
239;512;122684;SVAC;10
240;511;124724;SVAC;10
241;512;124724;SVAC;10
242;511;126872;SVAC;10
243;512;126872;SVAC;10
244;511;131495;SVAC;10
245;511;133216;SVAC;10
246;511;135454;SVAC;10
247;512;131295;SVAC;10
248;512;133424;SVAC;10
249;512;135454;SVAC;10
250;30;9072;JI;0
251;9815;60845;JI;0
252;2401;22478;JI;0
253;9816;61786;SVAC;10
254;511;138544;SVAC;10
255;511;140168;SVAC;10
256;512;138544;CC;15
257;512;140168;SVAC;10
258;511;142288;SVAC;10
259;512;142277;SVAC;10
260;511;144357;SVAC;10
261;512;144368;SVAC;10
262;511;146657;SVAC;10
263;512;146657;SVAC;10
264;511;149049;SVAC;10
265;512;149049;SVAC;10
266;511;151156;SVAC;10
267;512;151156;SVAC;10
268;511;153281;SVAC;10
269;512;153281;SVAC;10
270;511;155404;SVAC;10
271;512;155404;SVAC;10
272;511;157562;SVAC;10
273;512;157562;SVAC;10
274;511;163013;SVAC;10
275;511;164826;SVAC;10
276;512;163013;SVAC;10
277;512;164826;SVAC;10
278;511;167210;SVAC;10
279;512;167210;SVAC;10
280;511;169399;SVAC;10
281;512;169399;SVAC;10
282;511;170644;SVAC;10
283;511;172011;SVAC;10
284;512;170644;SVAC;10
285;512;172011;SVAC;10
286;511;174093;SVAC;10
287;512;174093;SVAC;10
288;511;176268;SVAC;10
289;512;176268;SVAC;10
290;512;178688;SVAC;10
291;511;178677;SVAC;10
292;511;180844;SVAC;10
293;512;180844;SVAC;10
294;511;183090;SVAC;10
295;512;183090;SVAC;10
296;511;185307;SVAC;10
297;512;185307;SVAC;10
298;511;189696;SVAC;10
299;511;192008;SVAC;10
300;512;189696;SVAC;10
301;512;192008;SVAC;10
302;511;194328;SVAC;10
303;512;194328;SVAC;10
304;511;196537;SVAC;10
305;512;196536;SVAC;10
306;511;198800;SVAC;10
307;512;198800;SVAC;10
308;511;200892;SVAC;10
309;512;200892;SVAC;10
310;511;203052;SVAC;10
311;512;203052;SVAC;10
312;511;205529;SVAC;10
313;512;205529;SVAC;10
314;511;207899;SVAC;10
315;512;207899;SVAC;10
316;511;210341;SVAC;10
317;512;210341;SVAC;10
318;512;215085;SVAC;10
319;512;215267;CC;15
320;511;215085;SVAC;10
321;511;215268;SVAC;10
322;9816;61954;JI;0
323;9790;147593;JI;0
324;9790;146346;JI;0
325;9783;3754;JI;0
326;9782;3757;JI;0
327;9783;3258;CC;15
328;9783;2282;SV;12
329;4445;217814;JI;0
330;512;219523;CC;15
331;9783;1818;JI;0
332;512;218843;SVAC;10
333;9782;1810;JI;0
334;9782;2652;JI;0
335;9782;3258;JI;0
336;512;222284;SVAC;10
337;9782;1188;JI;0
338;512;221200;SVAC;10
339;9783;1188;JI;0
340;9782;1033;JI;0
341;9783;752;JI;0
342;9783;1070;JI;0
343;9782;600;JI;0
344;9783;600;JI;0
345;9774;1700;JI;0
346;9773;1851;JI;0
347;9773;2168;JI;0
348;9773;1401;JI;0
349;9774;1526;JI;0
350;9774;1000;JI;0
351;9816;60978;JI;0
352;2401;22224;JI;0
353;2401;21812;JI;0
354;797;21571;JI;0
355;864;2390;SVAC;10
356;864;3834;SVAC;10
357;863;3834;SVAC;10
358;863;6051;SVAC;10
359;864;6004;SVAC;10
360;863;7130;SVAC;10
361;863;8212;CC;15
362;864;8089;SVAC;10
363;863;8995;SVAC;10
364;863;10315;SVAC;10
365;864;8995;SVAC;10
366;864;10160;SVAC;10
367;863;12320;SVAC;10
368;864;12320;SVAC;10
369;863;14384;SVAC;10
370;864;14390;SVAC;10
371;863;16447;SVAC;10
372;864;23004;SVAC;10
373;863;26450;SVAC;10
374;863;27396;SVAC;10
375;863;29568;SVAC;10
376;863;31589;SVAC;10
377;864;28251;SVAC;10
378;864;29870;SVAC;10
379;864;27408;SVAC;10
380;863;32143;SVAC;10
381;863;33855;SVAC;10
382;864;31589;SVAC;10
383;864;32143;SVAC;10
384;863;35866;SVAC;10
385;864;34022;SVAC;10
386;863;38038;SVAC;10
387;864;34563;SVAC;10
388;863;83080;SVAC;10
389;863;84291;SVAC;10
390;864;81060;SVAC;10
391;864;82917;SVAC;10
392;863;86100;SVAC;10
393;864;84875;SVAC;10
394;863;87482;SVAC;10
395;863;89032;SVAC;10
396;864;86100;SVAC;10
397;863;89777;SVAC;10
398;863;95040;CC;15
399;863;96085;SVAC;10
400;863;97252;SVAC;10
401;864;95386;SVAC;10
402;864;97303;SVAC;10
403;863;99394;SVAC;10
404;864;99331;SVAC;10
405;863;101327;SVAC;10
406;864;100554;SVAC;10
407;864;101845;SVAC;10
408;863;105016;SVAC;10
409;863;106967;SVAC;10
410;864;103239;SVAC;10
411;864;103722;SVAC;10
412;864;105027;SVAC;10
413;864;106287;SVAC;10
414;863;108999;SVAC;10
415;864;108399;SVAC;10
416;863;109928;SVAC;10
417;863;111415;SVAC;10
418;864;110077;SVAC;10
419;8769;333385;JI;0
420;8769;333763;JI;0
421;8770;334377;JI;0
422;8770;334785;JI;0
423;8766;334295;JI;0
424;8766;334573;JI;0
425;914;1913;JI;0
426;914;2045;JI;0
427;8768;334557;CC;15
428;8768;334840;JI;0
429;8768;334295;JI;0
430;911;246;JI;0
431;1476;409284;JI;0
432;46;409300;JI;0
433;1476;409442;JI;0
434;1477;4816;JI;0
435;1477;6271;JI;0
436;1478;4816;JI;0
437;1478;6271;JI;0
438;1477;7823;JI;0
439;1477;9677;JI;0
440;1478;7823;JI;0
441;1478;9677;JI;0
442;56;21422;JI;0
443;56;21473;JI;0
444;57;29023;JI;0
445;57;29118;JI;0
446;866;386018;SVAC;10
447;866;387040;CC;15
448;865;386018;SVAC;10
449;865;387039;CC;15
450;20;388563;JI;0
451;20;388751;JI;0
452;1475;410161;JI;0
453;1476;410161;JI;0
454;18;410500;JI;0
455;1475;410497;JI;0
456;9098;148989;JI;0
457;9098;149040;JI;0
458;8764;161618;JI;0
459;26;161618;JI;0
460;8764;161765;CC;15
461;863;50033;CC;15
462;8772;50065;JI;0
463;6578;50328;JI;0
464;506;130613;JI;0
465;506;131393;SVAC;10
466;511;14813;JI;0
467;511;15861;SVAC;10
468;512;14813;JI;0
