ID;JOINT;CIRCUIT;PRINCIPAL;DB;EMETTEUR;DEMI_PAS
0;1;1;True;True;True;40.5
1;2;1;True;False;True;40.5
2;3;2;True;True;True;78.5
3;4;2;True;False;True;78.5
4;5;3;True;True;True;78.5
5;6;3;True;False;True;78.5
6;7;4;True;True;True;37.5
7;8;4;True;False;True;37.5
8;9;5;True;True;True;36
9;10;5;True;False;True;36
10;11;6;True;True;True;38.5
11;12;6;True;False;True;38.5
12;13;7;True;True;True;38.5
13;14;7;True;False;True;38.5
14;15;8;True;True;True;83.5
15;16;8;True;False;True;83.5
16;17;9;True;True;True;83.5
17;18;9;True;False;True;83.5
18;19;10;True;True;True;37.5
19;20;10;False;False;True;75
20;21;10;True;False;True;37.5
21;22;11;True;True;True;68.5
22;23;11;True;False;True;68.5
23;24;12;True;True;True;68.5
24;25;12;True;False;True;68.5
25;26;13;True;True;True;65.5
26;27;13;True;False;True;65.5
27;28;14;True;True;True;65.5
28;29;14;True;False;True;65.5
29;30;15;True;True;True;65
30;31;15;False;True;True;130
31;32;15;True;True;True;65
32;33;16;True;True;True;70.5
33;34;16;True;False;True;70.5
34;35;17;True;True;True;60
35;36;17;True;False;True;60
36;37;18;True;True;True;55.5
37;38;18;True;False;True;55.5
38;39;19;True;True;True;87.5
39;40;19;True;False;True;87.5
40;41;20;True;True;True;80.5
41;42;20;True;False;True;80.5
42;43;21;True;True;True;58.5
43;44;21;True;False;True;58.5
44;45;22;True;True;True;59
45;46;22;True;False;True;59
46;47;23;True;True;True;82
47;48;23;True;False;True;82
48;49;24;True;True;True;80.5
49;50;24;True;False;True;80.5
50;51;25;True;True;True;46.5
51;52;25;True;False;True;46.5
52;53;26;True;True;True;71
53;54;26;True;False;True;71
54;55;27;True;True;True;65
55;56;27;False;True;True;130
56;57;27;True;False;True;65
57;58;28;True;True;True;69.5
58;59;28;True;False;True;69.5
59;60;29;True;True;True;73.5
60;61;29;True;False;True;73.5
61;62;30;True;True;True;43
62;63;30;False;True;True;86
63;64;30;True;False;True;43
64;65;31;True;True;True;62.5
65;66;31;True;False;True;62.5
66;67;32;True;True;True;65.5
67;68;32;True;False;True;65.5
68;69;33;True;True;True;67
69;70;33;True;False;True;67
70;71;34;True;True;True;83.5
71;72;34;True;False;True;83.5
72;73;35;True;True;True;46.5
73;74;35;True;False;True;46.5
74;75;36;True;True;True;65
75;76;36;True;False;True;65
76;77;37;True;True;True;42.5
77;78;37;False;True;True;85
78;79;37;False;True;True;85
79;80;37;True;False;True;42.5
80;81;38;True;True;True;65.5
81;82;38;False;True;True;131
82;83;38;True;False;True;65.5
83;84;39;True;True;True;78.5
84;85;39;True;False;True;78.5
85;86;40;True;True;True;42.5
86;87;40;True;False;True;42.5
87;88;41;True;True;True;37.5
88;89;41;True;False;True;37.5
89;90;42;True;True;True;72
90;91;42;True;False;True;72
91;92;43;True;True;True;40.5
92;93;43;True;False;True;40.5
93;94;44;True;True;True;47.5
94;95;44;True;False;True;47.5
95;96;45;True;True;True;42.5
96;97;45;True;False;True;42.5
97;98;46;True;True;True;67
98;99;46;True;False;True;67
99;100;47;True;True;True;64.5
100;101;47;True;False;True;64.5
101;102;48;True;True;True;65
102;103;48;True;False;True;65
103;104;49;True;True;True;75
104;105;49;True;False;True;75
105;106;50;True;True;True;66.5
106;107;50;False;True;True;133
107;108;50;True;False;True;66.5
108;109;51;True;True;True;42.5
109;110;51;True;False;True;42.5
110;111;52;True;True;True;72.5
111;112;52;True;True;True;72.5
112;113;53;True;True;True;60
113;114;53;True;True;True;60
114;112;54;True;True;True;60
115;115;54;True;True;True;60
116;116;55;True;True;True;60
117;117;55;True;True;True;60
118;114;56;True;True;True;51
119;116;56;True;True;True;51
120;118;57;True;True;True;52.5
121;119;57;True;True;True;52.5
122;119;58;True;True;True;75.5
123;120;58;True;True;True;75.5
124;121;59;True;True;True;75.5
125;122;59;True;True;True;75.5
126;120;60;True;True;True;50
127;123;60;True;True;True;50
128;122;61;True;True;True;50
129;124;61;True;True;True;50
130;123;62;True;True;True;51
131;125;62;True;True;True;51
132;124;63;True;True;True;51
133;126;63;True;True;True;51
134;125;64;True;True;True;83.5
135;127;64;True;True;True;83.5
136;126;65;True;True;True;83.5
137;128;65;True;True;True;83.5
138;127;66;True;True;True;89.5
139;129;66;True;True;True;89.5
140;130;67;True;True;True;76
141;131;67;True;True;True;76
142;132;68;True;True;True;87.5
143;133;68;True;True;True;87.5
144;133;69;True;True;True;55.5
145;134;69;True;True;True;55.5
146;134;70;True;True;True;52.5
147;135;70;True;True;True;52.5
148;136;71;True;True;True;87.5
149;137;71;True;True;True;87.5
150;131;72;True;True;True;61.5
151;136;72;True;True;True;61.5
152;137;73;True;True;True;55.5
153;37;73;True;True;True;55.5
154;135;74;True;True;True;56
155;138;74;True;True;True;56
156;138;75;True;True;True;82
157;139;75;True;True;True;82
158;139;76;True;True;True;77
159;39;76;True;True;True;77
160;140;77;True;True;True;76.5
161;141;77;True;True;True;76.5
162;142;78;True;True;True;82
163;140;78;True;True;True;82
164;141;79;True;True;True;40.5
165;41;79;True;True;True;40.5
166;143;80;True;True;True;87
167;144;80;True;True;True;87
168;145;81;True;True;True;42.5
169;146;81;True;True;True;42.5
170;144;82;True;True;True;80.5
171;147;82;True;True;True;80.5
172;147;83;True;True;True;61
173;148;83;True;True;True;61
174;148;84;True;True;True;41
175;149;84;True;True;True;41
176;149;85;True;True;True;75.5
177;150;85;True;True;True;75.5
178;151;86;True;True;True;41
179;152;86;True;True;True;41
180;146;87;True;True;True;46
181;151;87;True;True;True;46
182;150;88;True;True;True;58
183;153;88;True;True;True;58
184;153;89;True;True;True;59
185;154;89;True;True;True;59
186;152;90;True;True;True;43.5
187;155;90;True;True;True;43.5
188;154;91;True;True;True;68
189;156;91;True;True;True;68
190;156;92;True;True;True;50
191;157;92;True;True;True;50
192;155;93;True;True;True;87
