ID;VOIE;PK;ACTIF;TYPE
1;1265;720;False;CRO
2;1851;720;False;CRO
3;67;720;False;CRO
4;66;735;False;CRO
5;1256;735;False;CRO
6;67;740;False;CRO
7;1265;740;False;CRO
8;1264;750;False;CRO
9;1261;750;False;CRO
10;1648;750;False;CRO
11;1256;755;False;CRO
12;66;755;False;CRO
13;1851;820;False;CRO
14;1648;820;False;CRO
15;1264;820;False;CRO
16;1261;820;False;CRO
17;1643;1037;False;CRO
18;1626;1038;False;CRO
19;1646;1038;False;CRO
20;1675;1041;False;CRO
21;1626;1053;False;CRO
22;1646;1053;False;CRO
23;1674;1054;False;CRO
24;67;1214;False;CRO
25;1265;1214;False;CRO
26;66;1232;True;CRO
27;1256;1232;True;CRO
28;1265;1234;False;CRO
29;67;1234;False;CRO
30;1646;1235;False;CRO
31;1678;1235;False;CRO
32;1643;1235;False;CRO
33;1651;1245;False;CRO
34;1261;1400;False;CRO
35;1264;1400;False;CRO
36;1651;1435;False;CRO
37;1678;1457;False;CRO
38;1264;1600;False;CRO
39;1261;1600;False;CRO
40;1258;1606;True;CRO
41;1626;1630;True;CRO
42;1263;1765;True;CRO
43;8959;1807;False;CRO
44;1646;1807;False;CRO
45;1643;1807;False;CRO
46;1258;1819;False;CRO
47;1256;1821;True;CRO
48;66;1821;True;CRO
49;8959;1957;False;CRO
50;1258;2030;True;CRO
51;1626;2030;False;CRO
52;67;2050;True;CRO
53;1261;2130;False;CRO
54;1261;2150;False;CRO
55;1263;2150;True;CRO
56;1851;2332;False;CRO
57;1851;2508;False;CRO
58;1256;2508;True;CRO
59;66;2508;True;CRO
60;67;2681;False;CRO
61;1261;2735;False;CRO
62;1851;2755;True;CRO
63;1263;2755;False;CRO
64;1261;2755;False;CRO
65;1258;2830;True;CRO
66;1261;2855;False;CRO
67;67;2875;True;CRO
68;1851;3090;True;CRO
69;66;3090;True;CRO
70;1256;3090;True;CRO
71;1263;3120;True;CRO
72;1261;3300;True;CRO
73;1263;3300;False;CRO
74;1261;3471;False;CRO
75;1258;3510;False;CRO
76;1256;3590;True;CRO
77;66;3590;True;CRO
78;67;3669;False;CRO
79;1851;3750;False;CRO
80;1647;3765;False;CRO
81;1625;3765;False;CRO
82;1852;3850;False;CRO
83;1263;3850;False;CRO
84;1261;3850;False;CRO
85;1261;4135;False;CRO
86;1852;4135;False;CRO
87;1625;4163;False;CRO
88;1258;4165;False;CRO
89;1851;4277;False;CRO
90;67;4362;True;CRO
91;1852;4444;True;CRO
92;1263;4444;False;CRO
93;1261;4444;True;CRO
94;1851;4565;True;CRO
95;1256;4665;True;CRO
96;66;4665;True;CRO
97;1851;4830;False;CRO
98;1258;4830;True;CRO
99;1852;4960;False;CRO
100;1261;4976;False;CRO
101;1261;4996;False;CRO
102;1263;4996;True;CRO
103;1261;5185;False;CRO
104;8613;5230;False;CRO
105;67;5235;False;CRO
106;1253;5278;False;CRO
107;1253;5332;False;CRO
108;1258;5418;False;CRO
109;1851;5468;False;CRO
110;1254;5490;False;CRO
111;66;5510;False;CRO
112;1259;5556;False;CRO
113;1263;5652;False;CRO
114;1851;5681;False;CRO
115;1253;5701;False;CRO
116;1253;5883;False;CRO
117;1253;6115;False;CRO
118;1851;6115;False;CRO
119;66;6170;False;CRO
120;1258;6170;False;CRO
121;1255;6170;False;CRO
122;1259;6170;False;CRO
123;1263;6252;False;CRO
124;67;6252;False;CRO
125;1261;6252;False;CRO
126;1851;6281;False;CRO
127;1253;6281;False;CRO
128;1254;6290;False;CRO
129;1851;6553;False;CRO
130;1255;6816;True;CRO
131;1254;6816;True;CRO
132;1259;6816;True;CRO
133;1851;6816;True;CRO
134;66;6816;True;CRO
135;1261;6865;True;CRO
136;1263;6865;True;CRO
137;67;6865;True;CRO
138;1853;6922;False;CRO
139;1254;7290;False;CRO
140;1681;7409;False;CRO
141;1254;7417;False;CRO
142;66;7417;False;CRO
143;1255;7417;False;CRO
144;1259;7417;False;CRO
145;1263;7450;False;CRO
146;1261;7450;False;CRO
147;67;7450;False;CRO
148;1681;7490;False;CRO
149;1623;7567;False;CRO
150;1644;7583;False;CRO
151;1645;7625;False;CRO
152;1259;7673;False;CRO
153;1623;7900;False;CRO
154;1259;8030;True;CRO
155;66;8030;True;CRO
156;1255;8030;True;CRO
157;1254;8030;True;CRO
158;1851;8070;True;CRO
159;1263;8074;True;CRO
160;67;8079;True;CRO
161;1261;8079;True;CRO
162;66;8220;False;CRO
163;1255;8220;False;CRO
164;1255;8575;False;CRO
165;67;8698;False;CRO
166;66;8903;True;CRO
167;1255;8903;True;CRO
168;67;9190;True;CRO
169;1260;9348;True;CRO
170;67;9363;False;CRO
171;1260;9568;False;CRO
172;66;9700;True;CRO
173;1255;9700;True;CRO
174;1255;9884;False;CRO
175;67;9978;True;CRO
176;1260;9988;True;CRO
177;1255;10560;True;CRO
178;66;10560;True;CRO
179;67;11066;True;CRO
180;1260;11066;True;CRO
181;1255;11340;True;CRO
182;66;11340;True;CRO
183;67;11710;False;CRO
184;67;11891;False;CRO
185;1260;11891;False;CRO
186;66;12002;False;CRO
187;1255;12002;False;CRO
188;67;12607;False;CRO
189;1260;12607;False;CRO
190;66;12845;False;CRO
191;1255;12845;False;CRO
192;67;13314;False;CRO
193;1260;13314;False;CRO
194;66;13425;False;CRO
195;1255;13425;True;CRO
196;1260;13606;False;CRO
197;67;13606;False;CRO
