ID;NOEUD;VOIE;PK;TYPE
0;0;511;178461;Amont
1;0;518;178461;Amont
2;0;511;178461;Aval
3;1;863;2357;Amont
4;1;6574;2357;Amont
5;1;863;2357;Aval
6;2;863;115247;Amont
7;2;6583;115247;Aval
8;2;863;115247;Aval
9;3;864;138424;Amont
10;3;6585;138424;Aval
11;3;864;138424;Aval
12;4;864;202210;Amont
13;4;6591;202210;Amont
14;4;864;202210;Aval
15;5;864;202288;Amont
16;5;8774;202288;Aval
17;5;864;202288;Aval
18;6;863;225165;Amont
19;6;6593;225165;Aval
20;6;863;225165;Aval
21;7;863;292609;Amont
22;7;6599;292609;Aval
23;7;863;292609;Aval
24;8;511;60743;Amont
25;8;511;60800;Aval
26;9;512;60743;Amont
27;9;512;60800;Aval
28;10;512;133999;Amont
29;10;512;133985;Aval
30;11;511;143883;Amont
31;11;511;143880;Aval
32;12;512;143883;Amont
33;12;512;143880;Aval
34;13;511;212275;Amont
35;13;511;212271;Aval
36;14;512;212275;Amont
37;14;512;212271;Aval
38;15;512;217895;Amont
39;15;4445;217895;Amont
40;15;512;217895;Aval
41;16;8766;334296;Amont
42;16;8770;334296;Aval
43;16;8766;334296;Aval
44;17;8768;334296;Amont
45;17;911;0;Aval
46;17;8768;334296;Aval
47;18;1476;409415;Amont
48;18;46;409415;Amont
49;18;1476;409415;Aval
50;19;1475;410226;Amont
51;19;1476;410226;Amont
52;19;1475;410226;Aval
53;20;1475;410419;Amont
54;20;18;410419;Aval
55;20;1475;410419;Aval
56;21;8764;161749;Amont
57;21;26;161749;Amont
58;21;8764;161749;Aval
59;22;863;50152;Amont
60;22;8772;50152;Amont
61;22;863;50152;Aval
62;23;863;50190;Amont
63;23;6578;50190;Aval
64;23;863;50190;Aval
65;24;511;162629;Amont
66;24;8764;162629;Amont
67;24;511;162629;Aval
68;25;511;162709;Amont
69;25;4440;162709;Aval
70;25;511;162709;Aval
71;26;1309;52182;Amont
72;26;6627;52182;Aval
73;26;1309;52182;Aval
74;27;863;17099;Amont
75;27;1477;39405;Amont
76;27;863;17099;Aval
77;28;863;361214;Amont
78;28;6606;361214;Amont
79;28;863;361214;Aval
80;29;863;361291;Amont
81;29;6607;361291;Aval
82;29;863;361291;Aval
83;30;864;50465;Amont
84;30;6578;50465;Amont
85;30;864;50465;Aval
86;31;8772;49124;Amont
87;31;8772;49124;Aval
88;32;864;117959;Amont
89;32;997;1546;Amont
90;32;864;117959;Aval
91;33;8771;138935;Amont
92;33;8775;138935;Amont
93;33;8771;138935;Aval
94;34;8765;273617;Amont
95;34;6571;273617;Amont
96;34;8765;273617;Aval
97;35;6571;273520;Amont
98;35;60;-400;Amont
99;35;6571;273520;Aval
100;35;60;-400;Aval
101;36;1473;408991;Amont
102;36;47;408991;Amont
103;36;1473;408991;Aval
104;37;1475;408991;Amont
105;37;19;408991;Amont
106;37;1475;408991;Aval
107;38;1475;409182;Amont
108;38;1476;409182;Aval
109;38;1475;409182;Aval
110;39;864;92092;Amont
111;39;6581;92092;Amont
112;39;864;92092;Aval
113;40;864;115521;Amont
114;40;6583;115521;Amont
115;40;864;115521;Aval
116;41;863;94182;Amont
117;41;6582;94182;Amont
118;41;863;94182;Aval
119;42;863;248047;Amont
120;42;6596;248047;Amont
121;42;863;248047;Aval
122;43;506;150232;Amont
123;43;4379;150232;Amont
124;43;506;150232;Aval
125;44;863;314029;Amont
126;44;6602;314029;Amont
127;44;863;314029;Aval
128;45;511;26049;Amont
129;45;4427;26049;Amont
130;45;511;26049;Aval
131;46;511;26129;Amont
132;46;4428;26129;Aval
133;46;511;26129;Aval
134;47;864;182532;Amont
135;47;6590;182532;Amont
136;47;864;182532;Aval
137;48;864;162562;Amont
138;48;6588;162562;Amont
139;48;864;162562;Aval
140;49;864;2097;Amont
141;49;6573;2097;Amont
142;49;864;2097;Aval
143;50;512;66442;Amont
144;50;516;66442;Amont
145;50;512;66442;Aval
146;51;863;334807;Amont
147;51;8766;334807;Amont
148;51;863;334807;Aval
149;52;864;247691;Amont
150;52;6595;247691;Amont
151;52;864;247691;Aval
152;53;864;247773;Amont
153;53;6596;247773;Aval
154;53;864;247773;Aval
155;54;864;93548;Amont
156;54;8773;93548;Amont
157;54;864;93548;Aval
158;55;863;410731;Amont
159;55;1473;410731;Amont
160;55;863;410731;Aval
161;56;863;410819;Amont
162;56;6611;410819;Aval
163;56;863;410819;Aval
164;57;511;66979;Amont
165;57;4431;66979;Amont
166;57;511;66979;Aval
167;58;511;67019;Amont
168;58;8762;67019;Aval
169;58;511;67019;Aval
170;59;863;182069;Amont
171;59;6589;182069;Amont
172;59;863;182069;Aval
173;60;863;182143;Amont
174;60;6590;182143;Aval
175;60;863;182143;Aval
176;61;506;173110;Amont
177;61;4381;173110;Amont
178;61;506;173110;Aval
179;62;864;275608;Amont
180;62;6598;275608;Amont
181;62;864;275608;Aval
182;63;505;148914;Amont
183;63;4378;148914;Amont
184;63;505;148914;Aval
185;64;505;148954;Amont
186;64;4375;148954;Aval
187;64;505;148954;Aval
188;65;863;138697;Amont
189;65;6585;138697;Amont
190;65;863;138697;Aval
191;66;863;138791;Amont
192;66;8771;138791;Aval
193;66;863;138791;Aval
194;67;8774;202452;Amont
195;67;41;202452;Amont
196;67;8774;202452;Aval
197;68;512;26403;Amont
198;68;4428;26403;Amont
199;68;512;26403;Aval
200;69;863;247365;Amont
201;69;40;247365;Amont
202;69;863;247365;Aval
203;70;863;247417;Amont
204;70;6595;247417;Aval
205;70;863;247417;Aval
206;71;1478;27146;Amont
207;71;1479;56680;Amont
208;71;1478;27146;Aval
209;72;863;226129;Amont
210;72;6594;226129;Amont
211;72;863;226129;Aval
212;73;8773;92511;Amont
213;73;43;92511;Amont
214;73;8773;92511;Aval
215;74;511;130409;Amont
216;74;517;130409;Amont
217;74;511;130409;Aval
218;75;511;130459;Amont
219;75;505;130459;Aval
220;75;511;130459;Aval
221;76;8763;113730;Amont
222;76;27;113730;Amont
223;76;8763;113730;Aval
224;77;512;138514;Amont
225;77;4438;138514;Amont
226;77;512;138514;Aval
227;78;512;213741;Amont
228;78;4444;213741;Amont
229;78;512;213741;Aval
230;79;863;411491;Amont
231;79;6612;411491;Amont
232;79;863;411491;Aval
233;80;8762;67173;Amont
234;80;28;67173;Amont
235;80;8762;67173;Aval
236;81;864;161828;Amont
237;81;1;161828;Amont
238;81;864;161828;Aval
239;82;864;161846;Amont
240;82;6587;161846;Aval
241;82;864;161846;Aval
242;83;864;408591;Amont
243;83;6610;408591;Amont
244;83;864;408591;Aval
245;84;864;408680;Amont
246;84;1475;408680;Aval
247;84;864;408680;Aval
248;85;864;335617;Amont
249;85;6605;335617;Amont
250;85;864;335617;Aval
251;86;512;162663;Amont
252;86;4411;162663;Amont
253;86;512;162663;Aval
254;87;864;336034;Amont
255;87;914;2216;Amont
256;87;864;336034;Aval
257;88;864;274347;Amont
258;88;8767;274347;Amont
259;88;864;274347;Aval
260;89;1477;28644;Amont
261;89;6623;28644;Amont
262;89;1477;28644;Aval
263;90;1477;28730;Amont
264;90;6624;28730;Aval
265;90;1477;28730;Aval
266;91;1477;28935;Amont
267;91;57;28935;Aval
268;91;1477;28935;Aval
269;92;1477;21063;Amont
270;92;6621;21063;Amont
271;92;1477;21063;Aval
272;93;1477;21152;Amont
273;93;6622;21152;Aval
274;93;1477;21152;Aval
275;94;1477;21326;Amont
276;94;56;21326;Aval
277;94;1477;21326;Aval
278;95;505;172756;Amont
279;95;4380;172756;Amont
280;95;505;172756;Aval
281;96;505;172836;Amont
282;96;4381;172836;Aval
283;96;505;172836;Aval
284;97;511;161408;Amont
285;97;4439;161408;Amont
286;97;511;161408;Aval
287;98;511;161488;Amont
288;98;8764;161488;Aval
289;98;511;161488;Aval
290;99;512;114854;Amont
291;99;4436;114854;Amont
292;99;512;114854;Aval
293;100;863;118609;Amont
294;100;6584;118609;Amont
295;100;863;118609;Aval
296;101;863;139986;Amont
297;101;8771;139986;Amont
298;101;863;139986;Aval
299;102;512;68297;Amont
300;102;4432;68297;Amont
301;102;512;68297;Aval
302;103;864;411104;Amont
303;103;6611;411104;Amont
304;103;864;411104;Aval
305;104;864;411205;Amont
306;104;6612;411205;Aval
307;104;864;411205;Aval
308;105;512;92871;Amont
309;105;4434;92871;Amont
310;105;512;92871;Aval
311;106;1478;29004;Amont
312;106;6624;29004;Amont
313;106;1478;29004;Aval
314;107;512;44583;Amont
315;107;4430;44583;Amont
316;107;512;44583;Aval
317;108;1308;51080;Amont
318;108;1479;51080;Aval
319;108;1308;51080;Aval
320;109;1478;21426;Amont
321;109;6622;21426;Amont
322;109;1478;21426;Aval
323;110;1478;21590;Amont
324;110;1309;56830;Aval
325;110;1478;21590;Aval
326;111;1477;26546;Amont
327;111;6627;55992;Amont
328;111;1477;26546;Aval
329;112;863;117237;Amont
330;112;996;1900;Amont
331;112;863;117237;Aval
332;113;511;92517;Amont
333;113;4433;92517;Amont
334;113;511;92517;Aval
335;114;511;92597;Amont
336;114;4434;92597;Aval
337;114;511;92597;Aval
338;115;505;134012;Amont
339;115;4376;134012;Amont
340;115;505;134012;Aval
341;116;505;134092;Amont
342;116;4377;134092;Aval
343;116;505;134092;Aval
344;117;863;388901;Amont
345;117;20;388901;Amont
346;117;863;388901;Aval
347;118;863;389059;Amont
348;118;6608;389059;Amont
349;118;863;389059;Aval
350;119;863;389162;Amont
351;119;6609;389162;Aval
352;119;863;389162;Aval
353;120;863;271703;Amont
354;120;6597;271703;Amont
355;120;863;271703;Aval
356;121;863;293509;Amont
357;121;6600;293509;Amont
358;121;863;293509;Aval
359;122;863;293773;Amont
360;122;22;293773;Aval
361;122;863;293773;Aval
362;123;864;225440;Amont
363;123;6593;225440;Amont
364;123;864;225440;Aval
365;124;863;203894;Amont
366;124;6592;203894;Amont
367;124;863;203894;Aval
368;125;863;335814;Amont
369;125;913;1957;Amont
370;125;863;335814;Aval
371;126;511;113536;Amont
372;126;4435;113536;Amont
373;126;511;113536;Aval
374;127;511;113576;Amont
375;127;8763;113576;Aval
376;127;511;113576;Aval
377;128;863;162119;Amont
378;128;6587;162119;Amont
379;128;863;162119;Aval
380;129;863;162288;Amont
381;129;6588;162288;Aval
382;129;863;162288;Aval
383;130;511;67983;Amont
384;130;8762;67983;Amont
385;130;511;67983;Aval
386;131;511;68023;Amont
387;131;4432;68023;Aval
388;131;511;68023;Aval
389;132;864;203487;Amont
390;132;8774;203487;Amont
391;132;864;203487;Aval
392;133;864;203620;Amont
393;133;6592;203620;Aval
394;133;864;203620;Aval
395;134;4375;149108;Amont
396;134;9098;149108;Amont
397;134;4375;149108;Aval
398;135;864;17099;Amont
399;135;1478;39405;Amont
400;135;864;17099;Aval
401;136;506;134366;Amont
402;136;4377;134366;Amont
403;136;506;134366;Aval
404;137;864;410731;Amont
405;137;1475;410731;Amont
406;137;864;410731;Aval
407;138;512;188543;Amont
408;138;4442;188543;Amont
409;138;512;188543;Aval
410;139;863;48875;Amont
411;139;6577;48875;Amont
412;139;863;48875;Aval
413;140;863;48980;Amont
414;140;8772;48980;Aval
415;140;863;48980;Aval
416;141;505;149918;Amont
417;141;4375;149918;Amont
418;141;505;149918;Aval
419;142;505;149958;Amont
420;142;4379;149958;Aval
421;142;505;149958;Aval
422;143;511;213387;Amont
423;143;4443;213387;Amont
424;143;511;213387;Aval
425;144;511;213467;Amont
426;144;4444;213467;Aval
427;144;511;213467;Aval
428;145;863;274347;Amont
429;145;8765;274347;Amont
430;145;863;274347;Aval
431;146;864;389447;Amont
432;146;6609;389447;Amont
433;146;864;389447;Aval
434;147;511;114540;Amont
435;147;8763;114540;Amont
436;147;511;114540;Aval
437;148;511;114580;Amont
438;148;4436;114580;Aval
439;148;511;114580;Aval
440;149;863;332582;Amont
441;149;6604;332582;Amont
442;149;863;332582;Aval
443;150;864;26366;Amont
444;150;6576;26366;Amont
445;150;864;26366;Aval
446;151;864;71545;Amont
447;151;6580;71545;Amont
448;151;864;71545;Aval
449;152;511;188189;Amont
450;152;4441;188189;Amont
451;152;511;188189;Aval
452;153;511;188269;Amont
453;153;4442;188269;Aval
454;153;511;188269;Aval
455;154;864;335149;Amont
456;154;8768;335149;Amont
457;154;864;335149;Aval
458;155;863;419081;Amont
459;155;871;419081;Amont
460;155;863;419081;Aval
461;156;517;130272;Amont
462;156;517;130319;Aval
463;157;25;202361;Amont
464;157;41;202361;Aval
465;157;25;202361;Aval
466;158;23;247286;Amont
467;158;40;247286;Aval
468;158;23;247286;Aval
469;159;8765;273461;Amont
470;159;60;-503;Aval
471;159;8765;273461;Aval
472;160;21;293956;Amont
473;160;22;293956;Amont
474;160;21;293956;Aval
475;161;8766;333842;Amont
476;161;8769;333842;Amont
477;161;8766;333842;Aval
478;162;863;71062;Amont
479;162;6579;71062;Amont
480;162;863;71062;Aval
481;163;863;71271;Amont
482;163;6580;71271;Aval
483;163;863;71271;Aval
484;164;511;138160;Amont
485;164;4437;138160;Amont
486;164;511;138160;Aval
487;165;511;138240;Amont
488;165;4438;138240;Aval
489;165;511;138240;Aval
490;166;864;140872;Amont
491;166;6586;140872;Amont
492;166;864;140872;Aval
493;167;512;162983;Amont
494;167;4440;162983;Amont
495;167;512;162983;Aval
496;168;892;8048;Amont
497;168;6697;8048;Amont
498;168;892;8048;Aval
499;169;863;26013;Amont
500;169;6575;26013;Amont
501;169;863;26013;Aval
502;170;863;26092;Amont
503;170;6576;26092;Aval
504;170;863;26092;Aval
505;171;864;361567;Amont
506;171;6607;361567;Amont
507;171;864;361567;Aval
508;172;511;44229;Amont
509;172;4429;44229;Amont
510;172;511;44229;Aval
511;173;511;44309;Amont
512;173;4430;44309;Aval
513;173;511;44309;Aval
514;174;506;133738;Amont
515;174;4376;133738;Aval
516;174;506;133738;Aval
517;175;506;148640;Amont
518;175;4378;148640;Aval
519;175;506;148640;Aval
520;176;506;172482;Amont
521;176;4380;172482;Aval
522;176;506;172482;Aval
523;177;512;25775;Amont
524;177;4427;25775;Aval
525;177;512;25775;Aval
526;178;512;43955;Amont
527;178;4429;43955;Aval
528;178;512;43955;Aval
529;179;512;66705;Amont
530;179;4431;66705;Aval
531;179;512;66705;Aval
532;180;512;92243;Amont
533;180;4433;92243;Aval
534;180;512;92243;Aval
535;181;512;113262;Amont
536;181;4435;113262;Aval
537;181;512;113262;Aval
538;182;512;130273;Amont
539;182;506;130273;Aval
540;182;512;130273;Aval
541;183;512;137886;Amont
542;183;4437;137886;Aval
543;183;512;137886;Aval
544;184;512;161421;Amont
545;184;4411;161421;Aval
546;184;512;161421;Aval
547;185;512;161134;Amont
548;185;4439;161134;Aval
549;185;512;161134;Aval
550;186;512;187914;Amont
551;186;4441;187914;Aval
552;186;512;187914;Aval
553;187;511;214699;Amont
554;187;519;214699;Aval
555;187;511;214699;Aval
556;188;512;213113;Amont
557;188;4443;213113;Aval
558;188;512;213113;Aval
559;189;864;25739;Amont
560;189;6575;25739;Aval
561;189;864;25739;Aval
562;190;864;43675;Amont
563;190;9277;0;Aval
564;190;864;43675;Aval
565;191;864;48600;Amont
566;191;6577;48600;Aval
567;191;864;48600;Aval
568;192;864;70788;Amont
569;192;6579;70788;Aval
570;192;864;70788;Aval
571;193;863;91817;Amont
572;193;6581;91817;Aval
573;193;863;91817;Aval
574;194;864;92368;Amont
575;194;8773;92368;Aval
576;194;864;92368;Aval
577;195;864;93907;Amont
578;195;6582;93907;Aval
579;195;864;93907;Aval
580;196;864;337741;Amont
581;196;910;0;Aval
582;196;864;337741;Aval
583;197;864;360938;Amont
584;197;6606;360938;Aval
585;197;864;360938;Aval
586;198;863;380500;Amont
587;198;865;380500;Aval
588;198;863;380500;Aval
589;199;863;140482;Amont
590;199;6586;140482;Aval
591;199;863;140482;Aval
592;200;864;160517;Amont
593;200;893;0;Aval
594;200;864;160517;Aval
595;201;863;161746;Amont
596;201;892;1255;Aval
597;201;863;161746;Aval
598;202;864;181680;Amont
599;202;6589;181680;Aval
600;202;864;181680;Aval
601;203;863;201824;Amont
602;203;6591;201824;Aval
603;203;863;201824;Aval
604;204;864;225853;Amont
605;204;6594;225853;Aval
606;204;864;225853;Aval
607;205;863;273213;Amont
608;205;8765;273213;Aval
609;205;863;273213;Aval
610;206;864;273213;Amont
611;206;8767;273213;Aval
612;206;864;273213;Aval
613;207;864;271429;Amont
614;207;6597;271429;Aval
615;207;864;271429;Aval
616;208;863;275332;Amont
617;208;6598;275332;Aval
618;208;863;275332;Aval
619;209;863;313174;Amont
620;209;6601;313174;Aval
621;209;863;313174;Aval
622;210;863;331344;Amont
623;210;6603;331344;Aval
624;210;863;331344;Aval
625;211;863;333206;Amont
626;211;8766;333206;Aval
627;211;863;333206;Aval
628;212;864;333206;Amont
629;212;8768;333206;Aval
630;212;864;333206;Aval
631;213;864;332194;Amont
632;213;6604;332194;Aval
633;213;864;332194;Aval
634;214;863;335229;Amont
635;214;6605;335229;Aval
636;214;863;335229;Aval
637;215;863;337888;Amont
638;215;909;147;Aval
639;215;863;337888;Aval
640;216;864;380540;Amont
641;216;866;380540;Aval
642;216;864;380540;Aval
643;217;864;388773;Amont
644;217;6608;388773;Aval
645;217;864;388773;Aval
646;218;863;408305;Amont
647;218;6610;408305;Aval
648;218;863;408305;Aval
649;219;863;408680;Amont
650;219;1473;408680;Aval
651;219;863;408680;Aval
652;220;863;416648;Amont
653;220;867;416648;Aval
654;220;863;416648;Aval
655;221;864;418723;Amont
656;221;872;418723;Amont
657;221;864;418723;Aval
658;222;864;417939;Amont
659;222;868;417939;Aval
660;222;864;417939;Aval
661;223;1477;21590;Amont
662;223;1308;56813;Aval
663;223;1477;21590;Aval
664;224;1478;20789;Amont
665;224;6621;20789;Aval
666;224;1478;20789;Aval
667;225;1478;28370;Amont
668;225;6623;28370;Aval
669;225;1478;28370;Aval
670;226;8762;67829;Amont
671;226;4412;67829;Aval
672;226;8762;67829;Aval
673;227;8763;114386;Amont
674;227;9092;114386;Aval
675;227;8763;114386;Aval
676;228;8764;162335;Amont
677;228;4413;162335;Aval
678;228;8764;162335;Aval
679;229;9277;396;Amont
680;229;9277;396;Aval
681;230;864;117664;Amont
682;230;6584;117664;Aval
683;230;864;117664;Aval
684;231;8771;139842;Amont
685;231;8776;139842;Aval
686;231;8771;139842;Aval
687;232;8765;274057;Amont
688;232;6572;274057;Aval
689;232;8765;274057;Aval
690;233;8767;274000;Amont
691;233;59;0;Aval
692;233;8767;274000;Aval
693;234;1473;410419;Amont
694;234;17;410419;Aval
695;234;1473;410419;Aval
696;235;1476;409994;Amont
697;235;45;409994;Aval
698;235;1476;409994;Aval
699;236;8772;50008;Amont
700;236;8772;50008;Aval
701;237;4375;149764;Amont
702;237;9097;149764;Aval
703;237;4375;149764;Aval
704;238;864;2151;Amont
705;238;6574;2151;Aval
706;238;864;2151;Aval
707;239;512;214699;Amont
708;239;520;214699;Aval
709;239;512;214699;Aval
710;240;864;44200;Amont
711;240;9278;0;Aval
712;240;864;44200;Aval
713;241;8774;203350;Amont
714;241;24;203350;Aval
715;241;8774;203350;Aval
716;242;8773;93403;Amont
717;242;42;93403;Aval
718;242;8773;93403;Aval
719;243;505;150886;Amont
720;243;505;150880;Aval
721;244;506;150886;Amont
722;244;506;150880;Aval
723;245;194;7011;Amont
724;245;9242;7011;Aval
725;245;194;7011;Aval
726;246;194;17634;Amont
727;246;9238;17634;Aval
728;246;194;17634;Aval
729;247;194;38334;Amont
730;247;9237;38334;Aval
731;247;194;38334;Aval
732;248;194;59107;Amont
733;248;2354;59107;Aval
734;248;194;59107;Aval
735;249;194;74877;Amont
736;249;2356;74877;Aval
737;249;194;74877;Aval
738;250;194;87459;Amont
739;250;2358;87459;Aval
740;250;194;87459;Aval
741;251;194;109582;Amont
742;251;2360;109582;Aval
743;251;194;109582;Aval
744;252;194;127744;Amont
745;252;2362;127744;Aval
746;252;194;127744;Aval
747;253;194;193646;Amont
748;253;2375;193646;Aval
749;253;194;193646;Aval
750;254;1309;43923;Amont
751;254;2403;43923;Amont
752;254;1309;43923;Aval
753;255;1309;44010;Amont
754;255;2404;44010;Aval
755;255;1309;44010;Aval
756;256;1308;26364;Amont
757;256;2396;26364;Amont
758;256;1308;26364;Aval
759;257;864;427584;Amont
760;257;6613;427584;Aval
761;257;864;427584;Aval
762;258;864;454950;Amont
763;258;6615;454950;Aval
764;258;864;454950;Aval
765;259;864;475390;Amont
766;259;6617;475390;Aval
767;259;864;475390;Aval
768;260;193;20760;Amont
769;260;193;20848;Aval
770;261;194;20760;Amont
771;261;194;20848;Aval
772;430;9645;6327;Amont
773;430;9645;6327;Aval
774;263;193;187614;Amont
775;263;193;187612;Aval
776;264;194;187614;Amont
777;264;194;187612;Aval
778;265;194;209525;Amont
779;265;2380;209525;Amont
780;265;194;209525;Aval
781;266;194;201870;Amont
782;266;180;3099;Amont
783;266;194;201870;Aval
784;267;193;201824;Amont
785;267;181;2762;Amont
786;267;193;201824;Aval
787;268;179;11182;Amont
788;268;2320;11182;Aval
789;268;179;11182;Aval
790;269;179;11292;Amont
791;269;2309;11292;Aval
792;269;179;11292;Aval
793;270;2305;56020;Amont
794;270;2327;56020;Amont
795;270;2305;56020;Aval
796;271;179;113187;Amont
797;271;2307;113187;Amont
798;271;179;113187;Aval
799;272;178;114289;Amont
800;272;9370;114289;Amont
801;272;178;114289;Aval
802;273;2341;38852;Amont
803;273;37;38852;Amont
804;273;2341;38852;Aval
805;274;8777;110518;Amont
806;274;35;110518;Amont
807;274;8777;110518;Aval
808;275;2347;142623;Amont
809;275;2365;142623;Amont
810;275;2342;142623;Aval
811;276;2348;182219;Amont
812;276;2372;182219;Amont
813;276;2343;182219;Aval
814;277;2382;32304;Amont
815;277;2383;32304;Aval
816;277;2382;32304;Aval
817;278;2388;31938;Amont
818;278;2389;31938;Aval
819;278;2388;31938;Aval
820;279;2389;32062;Amont
821;279;9244;32062;Aval
822;279;2389;32062;Aval
823;280;2385;32162;Amont
824;280;2388;32162;Amont
825;280;2385;32162;Aval
826;281;2385;32304;Amont
827;281;2386;32304;Aval
828;281;2385;32304;Aval
829;430;0;6327;Aval
830;431;9665;6387;Amont
831;431;9665;6387;Aval
832;283;2388;30917;Amont
833;283;2397;30917;Amont
834;283;2388;30917;Aval
835;284;1474;475907;Amont
836;284;15;475907;Amont
837;284;1474;475907;Aval
838;285;193;14458;Amont
839;285;1308;0;Amont
840;285;193;14458;Aval
841;286;1308;2994;Amont
842;286;1306;2309;Amont
843;286;1308;2994;Aval
844;287;1308;3034;Amont
845;287;2391;3034;Aval
846;287;1308;3034;Aval
847;288;193;167466;Amont
848;288;2369;167466;Amont
849;288;193;167466;Aval
850;289;193;167566;Amont
851;289;2370;167566;Aval
852;289;193;167566;Aval
853;290;193;181988;Amont
854;290;2371;181988;Amont
855;290;193;181988;Aval
856;291;193;182065;Amont
857;291;2372;182065;Aval
858;291;193;182065;Aval
859;292;179;57224;Amont
860;292;2329;57224;Amont
861;292;179;57224;Aval
862;293;179;8287;Amont
863;293;2317;8287;Amont
864;293;179;8287;Aval
865;294;179;8314;Amont
866;294;2318;8314;Aval
867;294;179;8314;Aval
868;295;1308;6877;Amont
869;295;2393;6877;Amont
870;295;1308;6877;Aval
871;296;1308;6963;Amont
872;296;2381;6963;Aval
873;296;1308;6963;Aval
874;297;178;10506;Amont
875;297;2895;249728;Amont
876;297;178;10506;Aval
877;298;1308;47113;Amont
878;298;33;47113;Aval
879;298;1308;47113;Aval
880;299;193;142392;Amont
881;299;2364;142392;Amont
882;299;193;142392;Aval
883;300;193;142469;Amont
884;300;2365;142469;Aval
885;300;193;142469;Aval
886;301;1308;30524;Amont
887;301;2382;30524;Aval
888;301;1308;30524;Aval
889;302;178;11268;Amont
890;302;2320;11268;Amont
891;302;178;11268;Aval
892;303;178;11292;Amont
893;303;2308;11292;Aval
894;303;178;11292;Aval
895;304;194;143827;Amont
896;304;2367;143827;Amont
897;304;194;143827;Aval
898;305;193;128031;Amont
899;305;2362;128031;Amont
900;305;193;128031;Aval
901;306;193;128131;Amont
902;306;2363;128131;Aval
903;306;193;128131;Aval
904;307;178;8532;Amont
905;307;2318;8532;Amont
906;307;178;8532;Aval
907;308;193;75006;Amont
908;308;2346;75006;Amont
909;308;193;75006;Aval
910;309;193;75164;Amont
911;309;2356;75164;Amont
912;309;193;75164;Aval
913;310;193;75263;Amont
914;310;2357;75264;Aval
915;310;193;75263;Aval
916;311;863;427871;Amont
917;311;6613;427871;Amont
918;311;863;427871;Aval
919;312;863;427971;Amont
920;312;6614;427971;Aval
921;312;863;427971;Aval
922;313;194;162307;Amont
923;313;2368;162307;Amont
924;313;194;162307;Aval
925;314;193;109863;Amont
926;314;2360;109868;Amont
927;314;193;109863;Aval
928;315;193;110175;Amont
929;315;8777;110175;Aval
930;315;193;110175;Aval
