ID;NOM
1000;PARIS-EST a MULHOUSE-VILLE
1306;RAC L'EVANGILE
1379;RAC EST LIGNE EOLE a PARIS EST-MULHOUSE
2000;GRETZ-ARMAINVILLIERS a SEZANNE
3000;LONGUEVILLE a ESTERNAY
4000;MEZY a ROMILLY
5000;PARIS a STRASBOURG ( TGV EST )
5300;RAC TROYES-PREIZE No 1 ET 4
5315;L 5315
5317;L 5317
5329;L 5329
5330;L 5330
5340;L 5340
5341;L 5341
5343;L 5343
5345;L 5345
5390;Raccordement de Vendenheim
6000;COOLUS a SENS
7000;FERE-CHAMPENOISE a VITRY-LE-FRANCOIS
10000;OIRY-MAREUIL a ROMILLY-SUR-SEINE
12000;TROYES a BRIENNE-LE-CHATEAU
13000;VALENTIGNY a VITRY-LE-FRANCOIS
14000;LGV RHIN-RHONE
14300;RACCORDEMENT OUEST BESANCON (LGV)
14330;RACCORDEMENT DE PETIT - CROIX
15000;JESSAINS a SORCY
20000;BLESME-HAUSSIGNEMONT a CHAUMONT
22300;RAC BLESME-HAUSSIGNEMONT
26000;BOLOGNE a PAGNY-SUR-MEUSE
27000;NANCOIS-TRONVILLE a NEUFCHATEAU
30000;NEUFCHATEAU a EPINAL
32000;CULMONT-CHALINDREY a TOUL
33000;LANGRES a ANDILLY
35000;MERREY a HYMONT-MATTAINCOURT
39000;TOUL a ROSIERES-AUX-SALINES
39306;RAC NEUVES-MAISONS NO 1
40000;JARVILLE-LA-MALGRANGE a MIRECOURT
40306;RAC NEUVES-MAISONS NO 2
41000;BARISEY-LA-COTE a FRENELLE-LA-GRANDE
42000;BLAINVILLE-DAMELEVIERES a LURE
51000;JUSSEY a DARNIEULLES-UXEGNEY
54000;CORBENAY a FAYMONT
55000;BAS-EVETTE a GIROMAGNY
60000;EPINAL a BUSSANG
62000;ARCHES a SAINT-DIE
63000;LAVELINE-DEVANT-BRUYERES a GERARDMER
64000;SAINT-LEONARD a FRAIZE
65000;MONT-SUR-MEURTHE a BRUYERES
67000;LUNEVILLE a SAINT-DIE
70000;NOISY-LE-SEC a STRASBOURG-VILLE
70331;RAC TOUL NO 1
70336;RAC FROUARD
70346;RAC STRASBOURG-CRONENBOURG a STRASBOURG-VILLE
70908;BOUCLE DE VAIRES
70953;SAUT-DE-MOUTON DE TOUL
71000;ESBLY a CRECY-LA-CHAPELLE
72000;TRILPORT a BAZOCHES
72311;L 72311
74000;EPERNAY a REIMS
74306;RAC EPERNAY
76000;AULNAY-SOUS-BOIS a ROISSY AEROPORT
78000;CHAMPIGNEULLES a HOUDEMONT
81000;CHALONS-SUR-MARNE a REIMS-CERES
