ID;VOIE;POSITION
1;1;2
2;2;-5
3;3;3
4;4;-2
5;5;-3
6;6;3
7;7;3
8;8;3
9;9;3
10;10;-2
11;11;-2
12;12;-3
13;13;3
14;14;-3
15;15;-3
16;16;-2
17;17;-3
18;18;3
19;19;3
20;20;-2
21;21;-2
23;23;-2
24;24;3
25;25;3
26;26;-2
27;27;-2
28;28;-2
29;29;2
31;31;-2
32;32;1
33;33;0
34;34;2
35;35;3
36;36;-2
37;37;-2
38;38;-3
39;39;1
42;42;3
43;43;3
44;44;-3
45;45;4
46;46;4
47;47;-3
48;48;-3
49;49;3
50;50;-2
51;51;-2
52;52;-2
53;53;-2
54;54;3
55;55;-3
56;56;1
57;57;-2
59;59;1
60;60;-1
61;61;-2
62;62;-3
63;63;-3
64;64;-3
65;65;-3
66;66;-1
67;67;1
68;68;0
69;69;0
70;70;0
71;71;-1
72;72;1
73;73;-1
74;74;0
75;75;0
76;76;-1
77;77;1
78;78;1
79;79;0
80;80;0
81;81;0
82;82;0
83;83;0
84;84;0
85;85;0
86;86;0
87;87;0
88;88;0
89;89;-2
90;90;0
91;91;0
92;92;0
93;93;0
94;94;0
95;95;0
96;96;0
97;97;-1
98;98;1
99;99;1
100;100;1
101;101;-1
102;102;1
103;103;0
104;104;-1
105;105;1
106;106;0
107;107;-1
108;108;1
109;109;0
110;110;0
111;111;-1
112;112;1
113;113;0
114;114;0
115;115;0
116;116;0
117;117;0
118;118;-1
119;119;-1
120;120;1
121;121;1
122;122;0
123;123;0
124;124;-1
125;125;-1
126;126;1
127;127;1
128;128;0
129;129;0
130;130;0
131;131;0
132;132;-1
133;133;1
134;134;0
135;135;0
136;136;-1
137;137;1
138;138;-1
139;139;1
140;140;0
141;141;-1
142;142;1
143;143;-1
144;144;1
145;145;-1
146;146;-1
147;147;1
148;148;1
149;149;0
150;150;0
151;151;0
152;152;-1
153;153;1
154;154;0
155;155;0
156;156;-1
157;157;1
158;158;-1
159;159;1
160;160;0
161;161;0
162;162;-1
163;163;-1
164;164;1
165;165;1
166;166;1
167;167;0
168;168;0
169;169;-1
170;170;1
171;171;1
172;172;0
173;173;1
174;174;1
175;175;-1
176;176;1
177;177;0
178;178;-1
179;179;1
180;180;-1
181;181;1
182;182;0
183;183;1
184;184;0
185;185;0
186;186;-1
187;187;1
188;188;0
189;189;-1
190;190;1
191;191;-1
192;192;1
193;193;-1
194;194;1
195;195;0
196;196;0
197;197;-1
198;198;1
199;199;0
200;200;0
201;201;0
202;202;0
203;203;0
204;204;-1
205;205;-1
206;206;-1
207;207;1
208;208;1
209;209;1
210;210;0
211;211;-1
212;212;1
213;213;0
214;214;0
215;215;0
216;216;-1
217;217;1
218;218;0
219;219;0
220;220;-1
221;221;1
222;222;2
223;223;1
224;224;-1
225;225;1
226;226;0
227;227;0
228;228;0
229;229;0
230;230;-1
231;231;1
232;232;0
233;233;0
234;234;0
235;235;0
236;236;0
237;237;0
238;238;-1
239;239;1
240;240;0
241;241;0
242;242;-1
243;243;1
244;244;-1
245;245;1
246;246;0
247;247;-1
248;248;1
249;249;0
250;250;0
251;251;-1
252;252;1
253;253;0
254;254;-1
255;255;-1
256;256;1
257;257;1
258;258;-1
259;259;1
260;260;0
261;261;0
262;262;0
263;263;-1
264;264;1
265;265;0
266;266;0
267;267;-1
268;268;1
269;269;-1
270;270;1
271;271;-1
272;272;1
273;273;-1
274;274;1
275;275;-1
276;276;1
277;277;-1
278;278;1
279;279;0
280;280;-1
281;281;1
282;282;0
283;283;-1
284;284;1
285;285;-1
286;286;1
287;287;0
288;288;0
289;289;-1
290;290;1
291;291;2
292;292;1
293;293;0
294;294;-1
295;295;1
296;296;-1
297;297;1
298;298;0
299;299;0
300;300;0
301;301;0
302;302;-1
303;303;-1
304;304;1
305;305;1
306;306;0
307;307;0
308;308;0
309;309;0
310;310;0
311;311;-1
312;312;1
313;313;0
314;314;-1
315;315;1
316;316;0
317;317;-1
318;318;1
319;319;0
320;320;-1
321;321;1
322;322;0
323;323;0
324;324;-1
325;325;1
326;326;-1
327;327;1
328;328;0
329;329;-1
330;330;-1
331;331;1
332;332;1
333;333;0
334;334;0
335;335;0
336;336;0
337;337;0
338;338;0
339;339;0
340;340;-1
341;341;-1
342;342;1
343;343;1
344;344;0
345;345;7
346;346;8
347;347;-1
348;348;1
349;349;0
350;350;0
351;351;-1
352;352;1
353;353;0
354;354;0
355;355;0
356;356;0
357;357;0
358;358;-1
359;359;1
360;360;-1
361;361;1
362;362;0
363;363;0
364;364;0
365;365;0
366;366;0
367;367;-1
368;368;-1
369;369;-1
370;370;-1
371;371;1
372;372;1
373;373;1
374;374;1
375;375;-1
376;376;1
377;377;-1
378;378;1
379;379;-1
380;380;1
381;381;0
382;382;-1
383;383;-1
384;384;1
385;385;1
386;386;0
387;387;0
388;388;-1
389;389;1
390;390;-1
391;391;1
392;392;-1
393;393;1
394;394;-1
395;395;1
396;396;-1
397;397;1
398;398;-1
399;399;1
400;400;-1
401;401;1
402;402;-1
403;403;1
404;404;-1
405;405;1
406;406;-1
407;407;1
408;408;-1
409;409;1
410;410;-1
411;411;1
412;412;0
413;413;0
414;414;-1
415;415;1
416;416;0
417;417;-1
418;418;-1
419;419;1
420;420;1
421;421;0
422;422;-1
423;423;1
424;424;0
425;425;-1
426;426;1
427;427;0
428;428;0
429;429;0
430;430;0
431;431;0
432;432;0
433;433;0
434;434;0
435;435;0
436;436;0
437;437;0
438;438;-1
439;439;1
440;440;-1
441;441;1
442;442;0
443;443;-1
444;444;1
445;445;-1
446;446;1
447;447;-1
448;448;1
449;449;-1
450;450;1
451;451;0
452;452;0
453;453;0
454;454;0
455;455;-1
456;456;1
457;457;0
458;458;0
459;459;0
460;460;0
461;461;0
462;462;0
463;463;-1
464;464;1
465;465;0
466;466;1
467;467;-1
468;468;1
469;469;-1
470;470;1
471;471;-1
472;472;1
473;473;-1
474;474;1
475;475;0
476;476;0
477;477;0
478;478;0
479;479;-1
480;480;1
481;481;-1
482;482;1
483;483;0
484;484;0
485;485;0
486;486;0
487;487;0
488;488;0
489;489;0
490;490;0
491;491;-1
492;492;1
493;493;0
494;494;0
495;495;-1
496;496;1
497;497;-1
498;498;1
499;499;-1
500;500;1
501;501;0
502;502;0
503;503;0
504;504;0
505;505;-1
506;506;1
507;507;-1
508;508;1
509;509;-1
510;510;1
511;511;-1
512;512;1
513;513;0
514;514;-1
515;515;1
516;516;0
517;517;0
518;518;0
519;519;-1
520;520;1
521;521;0
522;522;0
523;523;0
524;524;-1
525;525;1
526;526;0
527;527;0
528;528;0
529;529;-1
530;530;1
531;531;-1
532;532;1
533;533;-1
534;534;1
535;535;-1
536;536;1
537;537;0
538;538;-1
539;539;1
540;540;0
541;541;0
542;542;0
543;543;0
544;544;0
545;545;-1
546;546;1
547;547;0
548;548;0
549;549;-1
550;550;1
551;551;0
552;552;0
553;553;0
554;554;0
555;555;0
556;556;0
557;557;0
558;558;0
559;559;0
560;560;0
561;561;0
562;562;0
563;563;0
564;564;-1
565;565;-1
566;566;1
567;567;1
568;568;-1
569;569;1
570;570;-1
571;571;1
572;572;0
573;573;0
574;574;0
575;575;0
576;576;0
577;577;0
578;578;-1
579;579;1
580;580;-1
581;581;1
582;582;-1
583;583;1
584;584;0
585;585;0
586;586;0
587;587;0
588;588;0
589;589;0
590;590;0
591;591;0
592;592;0
593;593;0
594;594;0
595;595;0
596;596;-1
597;597;1
598;598;0
599;599;0
600;600;0
601;601;0
602;602;0
603;603;0
604;604;-1
605;605;-1
606;606;1
607;607;1
608;608;0
609;609;0
610;610;0
611;611;0
612;612;0
613;613;0
614;614;0
615;615;-1
616;616;1
617;617;0
618;618;-1
619;619;1
620;620;0
621;621;0
622;622;0
623;623;0
624;624;0
625;625;0
626;626;0
627;627;0
628;628;-1
629;629;1
630;630;-1
631;631;1
632;632;-1
633;633;1
634;634;-1
635;635;1
636;636;-1
637;637;1
638;638;0
639;639;0
640;640;-1
641;641;1
642;642;0
643;643;0
644;644;-1
645;645;-9
647;647;1
648;648;-2
649;649;-7
650;650;0
651;651;-1
