ID;LIGNE;NOM;PKD;PKF
0;216410;J0063;6327;6387
1;752000;4T;161700;161828
2;216410;J0092;9235;9341
3;752000;6;624320;624835
4;752000;VS2;612573;613108
5;752000;7;624131;624748
6;752000;VS1;596401;596555
7;752000;VS;595518;595679
8;752000;VS2;557231;557393
9;752000;VS1;556378;556540
10;752000;VS;541668;541833
11;752000;VS;516073;516253
12;752000;VS;496163;496625
13;752000;VS1;496167;496425
14;752000;VS1;476594;476735
15;752000;VS;475766;475907
16;752000;VS;454929;455080
17;752000;VS1;410419;410573
18;752000;VS2;410419;410500
19;752000;VS;408673;408991
20;752000;VS;388563;388901
21;752000;VS;293823;294600
22;752000;J2937;293773;293956
23;752000;VS;247220;247332
24;752000;VS;203350;203390
25;752000;VS;202281;202402
26;431000;V???;161618;161749
27;431000;V???;113600;113730
28;431000;V???;67070;67173
29;272000;VS;249368;249400
30;216410;J0090;9033;9141
31;10000;VS1;53165;53970
32;10000;VS;53425;53744
33;226310;VS;47113;47298
34;226310;VS;26296;26483
35;226000;V???;110393;110518
36;226000;V???;39538;39650
37;226000;V???;38703;38852
38;226000;VS;111125;111250
39;752356;V?????;1160;1398
40;752000;J2472;247286;247365
41;752000;J2023;202361;202452
42;752000;8;93403;93507
43;752000;6;92452;92511
44;752000;VS;494700;495170
45;752000;V???;409994;410080
46;752000;V???;409300;409415
47;752000;V???;408855;408991
48;752000;3T;625576;626000
49;752000;4T;625490;625900
50;752000;5;656803;657374
51;752000;3;643370;643696
52;752000;3;674789;675119
53;752000;7;658096;658766
54;752000;6;699465;699980
55;752000;5;699465;700080
56;752100;VS;21326;21473
57;752100;VS1;28935;29118
58;810000;J0800;83067;83277
59;767300;RM2;0;364
60;767300;RM1;-503;364
61;216000;5T;31213;31300
62;5000;5;280484;280905
63;5000;5T;212754;213175
64;5000;VS2;165751;165945
65;5000;5T;113000;113243
66;1000;V1;709;491088
67;1000;V2;682;490977
68;10000;UNIQUE;0;53000
69;100000;UNIQUE;21273;34534
70;110000;UNIQUE;45170;86242
71;110000;V1;0;45170
72;110000;V2;0;45170
73;110306;1S-2S;1938;2851
74;111000;VU;-182;33267
75;111000;VU;63900;64840
76;115000;V1;0;136923
77;115000;V2;0;136923
78;115306;RACCO;764;1303
79;116000;VU;74;11300
80;119000;UNIQUE;-111;24271
81;12000;UNIQUE;170007;207300
82;120000;VU;370;18800
83;121000;VU;3771;27499
84;121000;VU;27510;28410
85;122000;VU;530;9450
86;123000;UNIQUE;-377;491
87;123000;UNIQUE;15059;24957
88;124000;VU;1379;17672
89;125306;1R-2R;245;1632
90;13000;UNIQUE;45;32954
91;130000;VU;-351;32171
92;1306;UNIQUE;2348;2544
93;1306;UNIQUE;0;337
94;134000;UNIQUE;941;2280
95;135000;UNIQUE;16785;20885
96;136000;UNIQUE;100;2783
97;1379;V1;0;1510
98;1379;V2;0;1510
99;139301;H;0;344
100;139302;K;0;730
101;140000;V1;66897;153910
102;140000;V2;66897;153900
103;142000;UNIQUE;7467;7743
104;142000;V1;0;7467
105;142000;V2;0;7467
106;145000;VU;55875;56840
107;145000;V1;0;55875
108;145000;V2;0;55875
109;146000;UNIQUE;24955;57858
110;146000;UNIQUE;58740;60026
111;146000;V1;1517;24955
112;146000;V2;1146;24955
113;15000;UNIQUE;201910;207650
114;150000;UNIQUE;382;26134
115;153000;UNIQUE;12042;20600
116;159000;UNIQUE;-382;-274
117;159000;UNIQUE;3875;83257
118;159000;V1;-274;3825
119;159000;V1;83257;125502
120;159000;V2;-274;3875
121;159000;V2;83257;125502
122;160000;UNIQUE;17950;33443
123;161000;UNIQUE;9118;10402
124;161000;V1;-145;9118
125;161000;V1;10402;73515
126;161000;V2;-440;9118
127;161000;V2;10402;73470
128;163000;UNIQUE;285;1045
129;167000;UNIQUE;1357;19990
130;168000;UNIQUE;807;26850
131;169000;UNIQUE;820;7760
132;169000;V1;82;820
133;169000;V2;82;820
134;169306;UNIQUE;0;705
135;170000;UNIQUE;3677;11771
136;172000;V1;1086;51363
137;172000;V2;-390;51363
138;174000;V1;29620;55170
139;174000;V2;29620;55170
140;176000;UNIQUE;250;7716
141;177000;V1;170;29620
142;177000;V2;218;29620
143;178000;V1;1215;22168
144;178000;V2;1265;22168
145;180000;V1;154320;177056
146;180000;V1;181300;203756
147;180000;V2;154320;177056
148;180000;V2;181300;203756
149;180611;UNIQUE;0;10540
150;186000;UNIQUE;11049;12214
151;194000;UNIQUE;7983;12850
152;198300;V1R;2035;4336
153;198300;V2R;2035;4336
154;2000;UNIQUE;41023;91160
155;2000;UNIQUE;116100;131400
156;20000;V1;219750;304663
157;20000;V2;216490;304796
158;202000;V1;227865;249079
159;202000;V2;227839;249079
160;202100;UNIQUE;247994;248640
161;203000;UNIQUE;244700;247160
162;204000;V1;-58;925
163;204000;V1;140606;276123
164;204000;V2;-58;969
165;204000;V2;140650;228610
166;204000;V2;228802;276123
167;205000;UNIQUE;543;10650
168;205000;UNIQUE;16953;23136
169;205000;V1;23136;140579
170;205000;V2;23136;140579
171;206950;VU20;72069;74120
172;207000;UNIQUE;2423;34570
173;210000;VU6;168;41600
174;212000;VU6;60000;60995
175;212000;V1;779;27640
176;212000;V2;826;27590
177;214000;UNIQUE;85;5630
178;216000;V1;0;115220
179;216000;V2;0;114836
180;216302;V1BL;0;3099
181;216302;V2BL;0;2762
182;216308;UNIQUE;0;1412
183;216310;V2R;285331;286575
184;216312;UNIQUE;113388;114014
185;218000;UNIQUE;4450;20995
186;218000;V1;770;4450
187;218000;V2;840;4450
188;220000;UNIQUE;348080;363180
189;220000;V1;339800;346990
190;220000;V2;339800;346990
191;222000;V1;27640;50986
192;222000;V2;27590;50986
193;226000;V1;215;210577
194;226000;V2;410;210577
195;226303;UNIQUE;0;977
196;226305;UNIQUE;0;654
197;226306;V1A;0;10687
198;226306;V2A;0;9626
199;226309;UNIQUE;0;1268
200;228000;UNIQUE;140474;174150
201;229000;UNIQUE;94168;96009
202;229000;UNIQUE;115970;117287
203;229000;UNIQUE;140462;195664
204;229000;V1;2688;94168
205;229000;V1;96009;115970
206;229000;V1;117287;138880
207;229000;V2;2688;94168
208;229000;V2;96009;115970
209;229000;V2;117287;138880
210;232000;UNIQUE;90090;146926
211;232000;V1;55385;76189
212;232000;V2;55400;76179
213;236000;UNIQUE;140695;177940
214;238000;UNIQUE;180715;201185
215;240000;UNIQUE;120870;124652
216;242000;V1;50991;239563
217;242000;V2;50960;239563
218;242626;UNIQUE;0;22193
219;243301;UNIQUE;76189;77316
220;247000;V1;225001;233100
221;247000;V2;224880;233085
222;247306;VUD;81708;82687
223;247306;VDU;81708;82687
224;250000;V1;181278;231409
225;250000;V2;181280;231437
226;250306;UNIQUE;0;1250
227;250311;UNIQUE;0;1240
228;253000;UNIQUE;48064;48600
229;253000;UNIQUE;68675;81589
230;254000;V1;223927;241680
231;254000;V2;223927;242658
232;255000;UNIQUE;48730;49814
233;256000;UNIQUE;243835;245285
234;257000;UNIQUE;34167;42950
235;258000;UNIQUE;218224;222605
236;259000;UNIQUE;118175;148760
237;259000;UNIQUE;170984;220064
238;259000;V1;220064;223948
239;259000;V2;220064;223965
240;26000;UNIQUE;-421;56200
241;26000;UNIQUE;88100;94770
242;261000;V1;0;107450
243;261000;V2;187;107409
244;261306;V1;128590;130646
245;261306;V2;128635;129602
246;262000;UNIQUE;250251;260928
247;262000;V1;216970;246994
248;262000;V2;216970;246994
249;263300;UNIQUE;246560;246972
250;263300;UNIQUE;248168;250603
251;263300;V1;246972;248168
252;263300;V2;246972;248168
253;266300;UNIQUE;1327;3228
254;267000;V1;2085;81455
255;267000;V1;82504;123392
256;267000;V2;2085;81455
257;267000;V2;82504;123436
258;267306;V1;0;1044
259;267306;V2;0;1044
260;268000;UNIQUE;246512;262916
261;268000;UNIQUE;271375;275109
262;268000;UNIQUE;276832;287924
263;269000;V1;2156;14619
264;269000;V2;2220;14619
265;27000;UNIQUE;-174;35937
266;271000;UNIQUE;17070;18555
267;272000;V1;742;250908
268;272000;V2;742;250908
269;272311;V1;400;740
270;272311;V2;450;730
271;272326;V1;215342;216957
272;272326;V2;215331;216957
273;273300;V1;0;3707
274;273300;V2;0;3717
275;278000;V1;0;14620
276;278000;V2;0;14620
277;278306;RB1;0;952
278;278306;RB2;0;952
279;281000;UNIQUE;225600;230547
280;284000;V1;210230;224555
281;284000;V2;210230;224554
282;284306;UNIQUE;0;1203
283;284311;V1;223405;224589
284;284311;V2;223380;224598
285;286000;V1;210334;227483
286;286000;V2;210334;227551
287;289000;UNIQUE;18700;40862
288;289000;UNIQUE;44882;72144
289;289000;V1;21;18632
290;289000;V2;21;18700
291;289306;RT;0;798
292;289306;TR;0;798
293;290000;UNIQUE;36780;39369
294;292000;V1;10944;19592
295;292000;V2;10936;19592
296;292306;V1;18519;19562
297;292306;V2;18519;19562
298;293000;UNIQUE;238640;243100
299;294000;UNIQUE;20284;37740
300;294000;UNIQUE;54309;60076
301;294000;UNIQUE;68000;75718
302;295000;V1;0;45557
303;295000;V1;47685;105198
304;295000;V2;0;45552
305;295000;V2;47685;105203
306;296000;UNIQUE;6395;20500
307;298000;UNIQUE;20838;21547
308;299000;UNIQUE;740;1440
309;3000;UNIQUE;88360;111700
310;30000;UNIQUE;48895;77350
311;30000;V1;94156;98373
312;30000;V2;94156;98373
313;300000;UNIQUE;304226;319405
314;301000;V1;192454;305060
315;301000;V2;192495;305200
316;301301;UNIQUE;209141;210259
317;301306;V1;0;1303
318;301306;V2;0;1280
319;302506;UNIQUE;2450;6039
320;302506;V1;0;2400
321;302506;V2;0;2450
322;302511;UNIQUE;10219;16588
323;302521;UNIQUE;15650;19410
324;302526;V1;304715;310835
325;302526;V2;304713;310835
326;302536;V1;310835;312413
327;302536;V2;310835;312413
328;304000;UNIQUE;10500;43156
329;304000;V1;206;10500
330;304000;V1;43156;43710
331;304000;V2;208;10500
332;304000;V2;43156;43710
333;305000;UNIQUE;2106;10791
334;306000;UNIQUE;74390;78142
335;307000;UNIQUE;192195;229263
336;308000;UNIQUE;73142;134235
337;309000;UNIQUE;219465;234620
338;310000;UNIQUE;64337;81930
339;310000;UNIQUE;101850;117039
340;311000;V1;124274;251685
341;311000;V1;252285;254006
342;311000;V2;123904;251685
343;311000;V2;252285;254006
344;312300;UNIQUE;248804;254150
345;314000;V1;254006;295310
346;314000;V2;254006;295732
347;314306;V5R;291889;292582
348;314306;V6R;291889;292582
349;315000;UNIQUE;24917;35578
350;316000;UNIQUE;53822;84217
351;316000;V1;50320;53822
352;316000;V2;50156;53822
353;317000;UNIQUE;7015;19337
354;317000;UNIQUE;27910;41670
355;317000;UNIQUE;48999;62560
356;317000;UNIQUE;63352;86100
357;319000;UNIQUE;95035;101800
358;32000;V1;-40;112780
359;32000;V2;0;112755
360;321000;V1;1812;114600
361;321000;V2;1812;114600
362;323000;UNIQUE;175825;210296
363;325000;UNIQUE;59392;64560
364;325000;UNIQUE;78905;80102
365;325000;UNIQUE;91396;125807
366;325000;UNIQUE;127350;182015
367;325000;V1;9203;35897
368;325000;V1;36695;59392
369;325000;V1;64560;78905
370;325000;V1;80102;91396
371;325000;V2;9219;35897
372;325000;V2;36695;59392
373;325000;V2;64560;78733
374;325000;V2;80102;91396
375;326000;V1;28249;39090
376;326000;V2;28249;39090
377;328000;V1;13748;29067
378;328000;V2;13688;29067
379;329000;V1;26920;67100
380;329000;V2;26920;67100
381;33000;UNIQUE;747;16860
382;330000;V1;30095;118760
383;330000;V1;6441;30900
384;330000;V2;30095;118912
385;330000;V2;6502;30900
386;332000;UNIQUE;1848;12200
387;333000;UNIQUE;6230;23000
388;334000;V1;22;57335
389;334000;V2;22;57645
390;334301;V1;0;585
391;334301;V2;60;585
392;334302;V1;0;480
393;334302;V2;3;480
394;334900;V1;40;14168
395;334900;V2;37;14168
396;336000;V1;24890;27542
397;336000;V2;24876;27578
398;336306;V1;0;590
399;336306;V2;0;590
400;337300;V1;30436;33098
401;337300;V2;30396;33098
402;338000;V1;18096;32895
403;338000;V2;18409;32895
404;340000;V1;36;227918
405;340000;V2;36;227918
406;340306;V1;0;1371
407;340306;V2;0;1371
408;340309;V1;133570;135260
409;340309;V2;133700;135260
410;340311;V1;136772;137980
411;340311;V2;136786;137838
412;341116;UNIQUE;477;2894
413;341116;UNIQUE;23623;26930
414;341116;V1;2894;23623
415;341116;V2;2894;23623
416;341300;UNIQUE;225850;226050
417;341300;V1R;222120;225850
418;341300;V1R;226050;230660
419;341300;V2R;222170;225850
420;341300;V2R;226050;227050
421;342000;UNIQUE;15380;52906
422;35000;V1;31257;87841
423;35000;V2;31300;87841
424;350000;UNIQUE;161194;199509
425;350000;V1;150035;161194
426;350000;V2;149995;161194
427;351000;UNIQUE;156692;184940
428;353300;UNIQUE;266;6584
429;354000;UNIQUE;232;35546
430;356000;UNIQUE;3380;15750
431;357000;UNIQUE;28000;40370
432;357000;UNIQUE;70650;71274
433;358000;UNIQUE;170025;200000
434;359000;UNIQUE;202151;221950
435;361000;UNIQUE;222990;233597
436;362000;UNIQUE;203045;218200
437;365000;UNIQUE;4629;8400
438;365000;V1;0;4629
439;365000;V2;0;4629
440;366000;V1;56531;370287
441;366000;V2;56586;370275
442;366311;UNIQUE;214393;214979
443;367300;V1;0;718
444;367300;V2;0;718
445;368300;V1;136735;137104
446;368300;V2;136735;137104
447;368301;V1;115420;115829
448;368301;V2;115420;115829
449;369000;V1;134150;135333
450;369000;V2;134060;135333
451;370000;UNIQUE;64714;70632
452;370000;UNIQUE;87270;107509
453;371000;UNIQUE;336;3750
454;371000;UNIQUE;21661;22274
455;372000;V1;-103;57414
456;372000;V2;111;57414
457;374300;UNIQUE;0;1751
458;375000;UNIQUE;155587;187378
459;376000;UNIQUE;106497;113659
460;377000;UNIQUE;220700;231011
461;379000;UNIQUE;27067;49362
462;380000;UNIQUE;0;2365
463;39000;V1;397;43729
464;39000;V2;397;43661
465;390000;UNIQUE;189528;219243
466;39306;R;0;579
467;395000;V1;21264;181638
468;395000;V2;21267;181840
469;395306;VR1;85;2965
470;395306;VR2;76;2980
471;396000;V1;33572;51792
472;396000;V2;33510;52036
473;396306;V1;50612;51445
474;396306;V2;50612;51443
475;397000;UNIQUE;1861;3841
476;397000;UNIQUE;24715;37243
477;4000;UNIQUE;0;25860
478;40000;UNIQUE;32743;57131
479;40000;V1;60;32743
480;40000;V2;60;32743
481;40306;V1TER;0;467
482;40306;V2TER;0;467
483;405000;UNIQUE;2194;130736
484;409000;UNIQUE;252;42295
485;41000;UNIQUE;100;15300
486;412000;UNIQUE;273080;300307
487;414000;UNIQUE;232;11780
488;415000;UNIQUE;567;75650
489;415000;UNIQUE;75876;93623
490;415000;UNIQUE;138000;205777
491;415000;V1;93623;136781
492;415000;V2;93623;136235
493;418000;UNIQUE;313109;356200
494;42000;UNIQUE;93795;125504
495;42000;V1;545;93795
496;42000;V2;530;93795
497;420000;V1;1186;622408
498;420000;V2;1153;622408
499;420306;V1R;208920;210414
500;420306;V2R;209842;210414
501;421300;UNIQUE;618526;620722
502;422000;UNIQUE;446;13262
503;422000;UNIQUE;54365;82134
504;428000;UNIQUE;2240;13500
505;429000;V1;130459;179646
506;429000;V2;0;179321
507;429310;V1;179646;181968
508;429310;V2;179321;182931
509;430000;V1;4025;142079
510;430000;V2;3951;141974
511;431000;V1;1250;222994
512;431000;V2;1216;222994
513;431300;UNIQUE;0;1043
514;431300;V1R;1043;1859
515;431300;V2R;1043;1859
516;431302;UNIQUE;65900;66442
517;431305;UNIQUE;128861;130409
518;431310;UNIQUE;177905;178461
519;431315;V1R;214699;217033
520;431315;V2R;214699;217389
521;431320;UNIQUE;215685;217688
522;432000;UNIQUE;582;46200
523;439000;UNIQUE;412;33300
524;441000;V1;375682;454097
525;441000;V2;375681;454097
526;445000;UNIQUE;475589;480654
527;446000;UNIQUE;531252;547146
528;447000;UNIQUE;2645;28203
529;450000;V1;210046;306257
530;450000;V2;210366;306257
531;450306;V1;3950;4913
532;450306;V2;3955;4913
533;451300;V1;812;3950
534;451300;V2;812;3955
535;451311;V1;2510;2992
536;451311;V2;2510;2992
537;457000;UNIQUE;383710;392739
538;457000;V1;392830;393988
539;457000;V2;392739;393988
540;459300;UNIQUE;429978;432569
541;460000;UNIQUE;260143;290341
542;460000;UNIQUE;352060;359200
543;460000;UNIQUE;429257;439777
544;466000;UNIQUE;0;58316
545;468000;V1;373810;443518
546;468000;V2;373780;443521
547;468306;UNIQUE;442770;443291
548;470000;UNIQUE;685116;768334
549;470000;V1;469760;685116
550;470000;V2;469737;685116
551;472000;UNIQUE;53921;74397
552;473000;UNIQUE;585758;612213
553;474000;UNIQUE;588986;639906
554;475000;UNIQUE;475125;546976
555;476000;UNIQUE;665302;679969
556;477000;UNIQUE;685890;695000
557;485000;UNIQUE;507572;558183
558;486000;UNIQUE;507221;541722
559;499500;UNIQUE;0;3397
560;500000;UNIQUE;88536;163598
561;500000;UNIQUE;183400;216246
562;500000;UNIQUE;327067;414200
563;500000;UNIQUE;415456;487407
564;500000;V1;487407;488522
565;500000;V1;491569;608214
566;500000;V2;487412;488522
567;500000;V2;491569;608200
568;500306;V1;300;595
569;500306;V2;350;715
570;503300;V1;2304;3171
571;503300;V2;1868;3236
572;508000;UNIQUE;318025;336465
573;508000;UNIQUE;349400;359254
574;509000;UNIQUE;336465;357991
575;51000;UNIQUE;230;23700
576;510000;UNIQUE;36660;44101
577;512300;UNIQUE;301962;304611
578;514300;V1;1061;5136
579;514300;V2;1059;5136
580;514316;V1;3328;3828
581;514316;V2;3328;3828
582;515000;V1;235720;494005
583;515000;V2;235720;494005
584;516000;UNIQUE;494005;519816
585;518000;UNIQUE;342220;349388
586;518000;UNIQUE;349950;351000
587;518325;UNIQUE;349388;350008
588;519000;UNIQUE;431110;491225
589;523000;UNIQUE;0;73520
590;523000;UNIQUE;151800;165033
591;524000;UNIQUE;0;36250
592;526000;UNIQUE;67700;72173
593;527000;UNIQUE;180;38029
594;529000;UNIQUE;350;19470
595;5300;UNIQUE;1420;2957
596;530000;V1;0;251222
597;530000;V2;0;251289
598;534000;UNIQUE;696;68427
